Experiment,Params,Accuracy,FLOPs,Inference Time,Memory
accuracies,0.0,27.35,0.0,0.0,0.0
final_accuracy,0.0,27.35,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,10158836.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.019379873514175413,0.0
flops,0.0,0.0,29835657216.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,681.5390625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,27.226,0.0,0.0,0.0
final_accuracy,0.0,27.226,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11514548.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.018387948846817014,0.0
flops,0.0,0.0,32612155392.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,756.9140625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,32.412,0.0,0.0,0.0
final_accuracy,0.0,32.412,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11514548.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.020911063957214357,0.0
flops,0.0,0.0,32612155392.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,756.9140625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,31.256,0.0,0.0,0.0
final_accuracy,0.0,31.256,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,10158836.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.017343247938156125,0.0
flops,0.0,0.0,29835657216.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,681.5390625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,27.468,0.0,0.0,0.0
final_accuracy,0.0,27.468,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,10158836.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.017197809600830078,0.0
flops,0.0,0.0,29835657216.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,681.5390625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,30.632,0.0,0.0,0.0
final_accuracy,0.0,30.632,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11282900.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.019990870475769043,0.0
flops,0.0,0.0,30714494976.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,670.2890625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,22.542,0.0,0.0,0.0
final_accuracy,0.0,22.542,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11482964.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.01832083826065064,0.0
flops,0.0,0.0,31434080256.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,593.7890625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,26.296,0.0,0.0,0.0
final_accuracy,0.0,26.296,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11282900.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.018474566507339477,0.0
flops,0.0,0.0,30714494976.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,670.2890625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,31.594,0.0,0.0,0.0
final_accuracy,0.0,31.594,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,10158836.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.02029302072525024,0.0
flops,0.0,0.0,29835657216.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,681.5390625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,27.968,0.0,0.0,0.0
final_accuracy,0.0,27.968,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11482964.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.021080096244812007,0.0
flops,0.0,0.0,31434080256.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,593.7890625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,27.468,0.0,0.0,0.0
final_accuracy,0.0,27.468,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,10158836.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.020408287954330445,0.0
flops,0.0,0.0,29835657216.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,681.5390625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,23.178,0.0,0.0,0.0
final_accuracy,0.0,23.178,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11482964.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.017584799861907956,0.0
flops,0.0,0.0,31434080256.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,593.7890625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,26.296,0.0,0.0,0.0
final_accuracy,0.0,26.296,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11282900.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.02144602541923523,0.0
flops,0.0,0.0,30714494976.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,670.2890625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,31.594,0.0,0.0,0.0
final_accuracy,0.0,31.594,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,10158836.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.02052104644775391,0.0
flops,0.0,0.0,29835657216.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,681.5390625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,30.608,0.0,0.0,0.0
final_accuracy,0.0,30.608,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11282900.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.020249542379379273,0.0
flops,0.0,0.0,30714494976.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,670.2890625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,32.144,0.0,0.0,0.0
final_accuracy,0.0,32.144,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11514548.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.020450345659255974,0.0
flops,0.0,0.0,32612155392.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,698.7890625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,27.948,0.0,0.0,0.0
final_accuracy,0.0,27.948,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11514548.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.022122052812576294,0.0
flops,0.0,0.0,32612155392.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,698.7890625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,23.488,0.0,0.0,0.0
final_accuracy,0.0,23.488,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11508692.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.01776972637176514,0.0
flops,0.0,0.0,31844597760.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,626.7890625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,26.85,0.0,0.0,0.0
final_accuracy,0.0,26.85,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11514548.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.0193014066696167,0.0
flops,0.0,0.0,32612155392.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,698.7890625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,27.968,0.0,0.0,0.0
final_accuracy,0.0,27.968,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11482964.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.017212350511550907,0.0
flops,0.0,0.0,31434080256.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,593.7890625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,31.308,0.0,0.0,0.0
final_accuracy,0.0,31.308,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11514548.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.01856489267349243,0.0
flops,0.0,0.0,32612155392.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,698.7890625
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,22.374,0.0,0.0,0.0
final_accuracy,0.0,22.374,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11486212.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.02041353588104248,0.0
flops,0.0,0.0,31683641344.0,0.0,0.0
