Model,Accuracy,Memory (MB)
Last 2_Kevin,31.256,681.5390625
Original Model_Kevin,32.422,756.9140625
Stage 4_JF,27.468,681.5390625
Last 2_JF,27.35,681.5390625
Stage 4_Kevin,31.734,681.5390625
Stage 3_JF,26.296,670.2890625
Stage 2_JF,23.178,593.7890625
Stage 3_Kevin,30.632,670.2890625
Stage 4 last 2 conv_JF,27.948,698.7890625
Stage 3-5_JF,26.592,670.2890625
Stage 4-5_Kevin,31.594,681.5390625
Stage 4 last 2 conv_Kevin,32.144,698.7890625
Stage 2-5_Kevin,27.968,593.7890625
Stage 3 last 2 conv_JF,26.85,698.7890625
Stage 4 first 2 conv_JF,27.664,698.7890625
Stage 1 last 2 conv_Kevin,29.478,662.7890625
