Model,FLOPs,Inference Time (s)
Original Model_JF,32612155392.0,0.02150895190238953
Original Model_Kevin,32612155392.0,0.011136700892448424
Last 2_JF,29974331392.0,0.01984417128562927
Stage 4_JF,29974331392.0,0.019762119770050046
Stage 4_Kevin,29974331392.0,0.010995268821716307
Last 2_Kevin,29974331392.0,0.010825108742713927
Stage 4-5_JF,29974331392.0,0.01083901274204254
Stage 3_Kevin,30809128960.0,0.021744935846328733
Stage 3_JF,30809128960.0,0.02165016484260559
Stage 4-5_Kevin,29974331392.0,0.01963772811889648
Stage 3-5_JF,30809128960.0,0.02110427050590515
Stage 3-5_Kevin,30809128960.0,0.010965110397338869
Stage 4 last 2 conv_JF,32750829568.0,0.021454544019699096
Stage 1-5_JF,31920095232.0,0.01890399022102356
Stage 1-5_Kevin,31920095232.0,0.011100275230407712
Stage 4 last 2 conv_Kevin,32750829568.0,0.021553003311157226
Stage 3 last 2 conv_JF,32706789376.0,0.011296552038192749
Stage 3 last 2 conv_Kevin,32706789376.0,0.02071843690872192
Stage 3 first 2 conv_Kevin,32619495424.0,0.02179812321662903
Stage 1 last 2 conv_JF,31964135424.0,0.021594947385787964
Stage 1 last 2 conv_Kevin,31964135424.0,0.011146646380424499
