Model,FLOPs,Memory (MB)
Stage 3_JF,30714494976.0,670.2890625
Stage 4_Kevin,29835657216.0,681.5390625
Last 2_JF,29835657216.0,681.5390625
Original Model_Kevin,32612155392.0,756.9140625
Stage 3_Kevin,30714494976.0,670.2890625
Last 2_Kevin,29835657216.0,681.5390625
Stage 4-5_JF,29835657216.0,681.5390625
Stage 3-5_Kevin,30714494976.0,670.2890625
Stage 2-5_JF,31434080256.0,593.7890625
Stage 2_Kevin,31434080256.0,593.7890625
Stage 4-5_Kevin,29835657216.0,681.5390625
Stage 4 last 2 conv_Kevin,32612155392.0,698.7890625
Stage 1-5_Kevin,31844597760.0,626.7890625
Stage 1-5_JF,31844597760.0,626.7890625
Stage 3-5_JF,30714494976.0,670.2890625
Stage 4 last 2 conv_JF,32612155392.0,698.7890625
Stage 3 last 2 conv_JF,32612155392.0,698.7890625
Stage 1 last 2 conv_JF,31926386688.0,662.7890625
Stage 1 first 2 conv_JF,31926386688.0,662.7890625
Stage 3 first 2 conv_JF,32612155392.0,698.7890625
Stage 2 first 2 conv_Kevin,31540510720.0,614.7890625
Stage 4 first 2 conv_Kevin,32612155392.0,698.7890625
Stage 3 last 2 conv_Kevin,32612155392.0,698.7890625
