Model,FLOPs,Inference Time (s)
Original Model_JF,32612155392.0,0.02150895190238953
Original Model_Kevin,32612155392.0,0.011136700892448424
Last 2_JF,29974331392.0,0.01984417128562927
Stage 4_JF,29974331392.0,0.019762119770050046
Stage 4_Kevin,29974331392.0,0.010995268821716307
Last 2_Kevin,29974331392.0,0.010825108742713927
Stage 4-5_JF,29974331392.0,0.01083901274204254
Stage 3_Kevin,30809128960.0,0.021744935846328733
Stage 3_JF,30809128960.0,0.02165016484260559
Stage 4-5_Kevin,29974331392.0,0.01963772811889648
Stage 3-5_JF,30809128960.0,0.02110427050590515
Stage 3-5_Kevin,30809128960.0,0.010965110397338869
