Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Last 2_Kevin,0.8738641280830812,0.0,0.0,0.7867184909862902,0.5379310344827586
Original Model_Kevin,1.0,1.0,1.0,0.7328842949033744,1.0
Stage 4_JF,0.4640848117697967,0.0,0.0,0.4839000669164207,0.5379310344827586
Last 2_JF,0.4513197749891824,0.0,0.0,0.5951661744249371,0.5379310344827586
Stage 4_Kevin,0.9255733448723501,0.0,0.0,0.5713816834580158,0.5379310344827586
Stage 3_JF,0.3372998701860666,0.8291318510126044,0.3165274040504178,0.8897815627428579,0.4689655172413793
Stage 2_JF,0.0,0.976703016569891,0.5756974932729075,0.7215672627170918,0.0
Stage 3_Kevin,0.8063608827347473,0.8291318510126044,0.3165274040504178,0.8088254866257335,0.4689655172413793
Stage 4 last 2 conv_JF,0.5160103851146691,1.0,1.0,0.8269999238571273,0.6436781609195402
Stage 3-5_JF,0.3693206404154045,0.8291318510126044,0.3165274040504178,0.6692818346941143,0.4689655172413793
Stage 4-5_Kevin,0.9104283859800956,0.0,0.0,0.8365165094042826,0.5379310344827586
Stage 4 last 2 conv_Kevin,0.9699264387710949,1.0,1.0,1.0,0.6436781609195402
Stage 2-5_Kevin,0.5181739506707055,0.976703016569891,0.5756974932729075,0.7341021030104616,0.0
Stage 3 last 2 conv_JF,0.3972306360882737,1.0,1.0,0.8796385991358445,0.6436781609195402
Stage 4 first 2 conv_JF,0.4852877542189531,1.0,1.0,0.0,0.6436781609195402
