Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Original Model_JF,27.24,11514548,32612155392,0.02150895190238953,756.9140625
Original Model_Kevin,32.172,11514548,32612155392,0.011136700892448424,756.9140625
Last 2_JF,27.252,10226916,29974331392,0.01984417128562927,685.8515625
Stage 4_JF,27.52,10226916,29974331392,0.019762119770050046,685.8515625
Stage 4_Kevin,31.844,10226916,29974331392,0.010995268821716307,685.8515625
Last 2_Kevin,31.564,10226916,29974331392,0.010825108742713927,685.8515625
Stage 4-5_JF,27.566,10226916,29974331392,0.01083901274204254,685.8515625
Stage 3_Kevin,30.664,11294604,30809128960,0.021744935846328733,677.4140625
Stage 3_JF,26.294,11294604,30809128960,0.02165016484260559,677.4140625
Stage 4-5_Kevin,31.738,10226916,29974331392,0.01963772811889648,685.8515625
