Experiment,Params,Accuracy,FLOPs,Inference Time,Memory
accuracies,0.0,67.492,0.0,0.0,0.0
final_accuracy,0.0,67.492,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11481338.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.02117030725479126,0.0
flops,0.0,0.0,32595197952.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,756.73828125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,68.992,0.0,0.0,0.0
final_accuracy,0.0,68.992,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,10125626.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.01954697117805481,0.0
flops,0.0,0.0,29818699776.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,681.36328125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,69.054,0.0,0.0,0.0
final_accuracy,0.0,69.054,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11481338.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.021335790491104123,0.0
flops,0.0,0.0,32595197952.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,756.73828125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,68.3,0.0,0.0,0.0
final_accuracy,0.0,68.3,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,10125626.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.019816630411148072,0.0
flops,0.0,0.0,29818699776.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,681.36328125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,67.092,0.0,0.0,0.0
final_accuracy,0.0,67.092,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,10125626.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.01982844161987305,0.0
flops,0.0,0.0,29818699776.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,681.36328125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,55.576,0.0,0.0,0.0
final_accuracy,0.0,55.576,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11449754.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.019231171178817754,0.0
flops,0.0,0.0,31417122816.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,593.61328125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,69.044,0.0,0.0,0.0
final_accuracy,0.0,69.044,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,10125626.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.017380411195755008,0.0
flops,0.0,0.0,29818699776.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,681.36328125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,67.194,0.0,0.0,0.0
final_accuracy,0.0,67.194,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,10125626.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.018644183778762816,0.0
flops,0.0,0.0,29818699776.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,681.36328125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,66.458,0.0,0.0,0.0
final_accuracy,0.0,66.458,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11249690.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.020934043216705323,0.0
flops,0.0,0.0,30697537536.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,670.11328125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,65.554,0.0,0.0,0.0
final_accuracy,0.0,65.554,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11475482.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.018550499296188357,0.0
flops,0.0,0.0,31827640320.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,626.61328125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,57.6,0.0,0.0,0.0
final_accuracy,0.0,57.6,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11453002.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.020555240011215205,0.0
flops,0.0,0.0,31666683904.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,677.61328125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,67.286,0.0,0.0,0.0
final_accuracy,0.0,67.286,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11481338.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.02156221899986267,0.0
flops,0.0,0.0,32595197952.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,698.61328125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,57.07,0.0,0.0,0.0
final_accuracy,0.0,57.07,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11453002.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.021568846416473386,0.0
flops,0.0,0.0,31666683904.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,677.61328125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,64.72,0.0,0.0,0.0
final_accuracy,0.0,64.72,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11476106.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.021967927932739263,0.0
flops,0.0,0.0,31909429248.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,662.61328125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,56.0,0.0,0.0,0.0
final_accuracy,0.0,56.0,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11453002.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.021754518556594847,0.0
flops,0.0,0.0,31523553280.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,614.61328125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,55.542,0.0,0.0,0.0
final_accuracy,0.0,55.542,0.0,0.0,0.0
losses,0.0,0.0,0.0,0.0,0.0
total_epochs_trained,0.0,0.0,0.0,0.0,0.0
param_count,11453002.0,0.0,0.0,0.0,0.0
inference_time,0.0,0.0,0.0,0.021608439874649048,0.0
flops,0.0,0.0,31523553280.0,0.0,0.0
total_size_mb,0.0,0.0,0.0,0.0,614.61328125
diagnostics,0.0,0.0,0.0,0.0,0.0
accuracies,0.0,66.244,0.0,0.0,0.0
