Model,FLOPs,Inference Time (s)
Original Model_Kevin,32595197952.0,0.021659262561798096
Original Model_JF,32595197952.0,0.024563022422790532
Last 2_JF,29957373952.0,0.019872215938568114
Stage 3_JF,30792171520.0,0.02149909925460815
Stage 4-5_JF,29957373952.0,0.011852326440811158
Stage 4_JF,29957373952.0,0.020426264142990112
Last 2_Kevin,29957373952.0,0.02083360643386841
Stage 3_Kevin,30792171520.0,0.011082556891441345
Stage 4_Kevin,29957373952.0,0.0206056655883789
Stage 3-5_JF,30792171520.0,0.020310363101959224
Stage 1-5_JF,31903137792.0,0.02166146397590637
Stage 3 last 2 conv_JF,32689831936.0,0.02192337107658386
Stage 3 last 2 conv_Kevin,32689831936.0,0.022530980730056764
Stage 3-5_Kevin,30792171520.0,0.021276262283325194
Stage 4-5_Kevin,29957373952.0,0.02071329288482666
Stage 3 first 2 conv_JF,32602537984.0,0.021580369472503663
Stage 4 first 2 conv_Kevin,32622592000.0,0.022076121473312373
Stage 3 first 2 conv_Kevin,32602537984.0,0.021792502212524413
Stage 1-5_Kevin,31903137792.0,0.021841182279586792
Stage 4 last 2 conv_JF,32733872128.0,0.022016260480880734
Stage 1 last 2 conv_Kevin,31947177984.0,0.021925354957580565
Stage 1 last 2 conv_JF,31947177984.0,0.021865219259262082
Stage 4 first 2 conv_JF,32622592000.0,0.02202267189025879
Stage 1 first 2 conv_Kevin,31984926720.0,0.020841787242889404
Stage 1 first 2 conv_JF,31984926720.0,0.021694494342803957
Stage 4 last 2 conv_Kevin,32733872128.0,0.0216088415145874
