Model,Parameters,Accuracy,Inference Time (s),Memory Usage (bytes),FLOPs
Stage 4_Kevin,10125626,67.194,0.02063350400924683,681.36328125,29818699776
Stage 4-5_JF,10125626,68.998,0.010504052782058714,681.36328125,29818699776
Stage 4-5_Kevin,10125626,67.02,0.010442276787757873,681.36328125,29818699776
Stage 2-5_JF,11449754,55.616,0.020865063953399657,593.61328125,31417122816
Stage 2-5_Kevin,11449754,55.16,0.02093948006629944,593.61328125,31417122816
Stage 2_JF,11449754,55.616,0.01753487830162048,593.61328125,31417122816
Stage 2 last 2 conv_JF,11453002,57.6,0.02139285287857056,677.61328125,31666683904
Stage 2 last 2 conv_Kevin,11453002,57.07,0.021346688318252562,677.61328125,31666683904
Stage 2 first 2 conv_JF,11453002,56.0,0.02110083680152893,614.61328125,31523553280
Stage 1-5_JF,11475482,65.612,0.020837468957901003,626.61328125,31827640320
Stage 1 last 2 conv_JF,11476106,66.906,0.010994425582885742,662.61328125,31909429248
Stage 1 first 2 conv_JF,11476106,66.36,0.011019035148620605,662.61328125,31909429248
Original Model_JF,11481338,69.032,0.020924547243118288,756.73828125,32595197952
Stage 4 last 2 conv_JF,11481338,68.624,0.011117833685874939,698.61328125,32595197952
Stage 4 last 2 conv_Kevin,11481338,67.256,0.011139518404006957,698.61328125,32595197952
Stage 3 last 2 conv_Kevin,11481338,66.692,0.011140059137344359,698.61328125,32595197952
Stage 4 first 2 conv_JF,11481338,67.286,0.021452012920379643,698.61328125,32595197952
Stage 3 first 2 conv_Kevin,11481338,62.268,0.021063092899322507,698.61328125,32595197952
Stage 3 first 2 conv_JF,11481338,62.988,0.019297736120223997,698.61328125,32595197952
