Model,Params,Time,Accuracy
Last 2_JF,10193706,0.019872215938568114,69.01
Last 2_Kevin,10193706,0.02083360643386841,67.408
Original Model_JF,11481338,0.024563022422790532,69.03
Original Model_Kevin,11481338,0.021659262561798096,67.264
Stage 1 first 2 conv_JF,11476706,0.021931833600997923,66.298
Stage 1 first 2 conv_Kevin,11476706,0.021810380792617795,63.748
Stage 1 last 2 conv_JF,11476418,0.018427510404586796,66.716
Stage 1 last 2 conv_Kevin,11476418,0.011203404736518858,64.034
Stage 1-5_JF,11476082,0.021518235301971438,66.21
Stage 1-5_Kevin,11476082,0.021156887960433957,63.338
Stage 3 first 2 conv_JF,11481714,0.020336283159255984,61.716
Stage 3 first 2 conv_Kevin,11481714,0.020682745742797853,61.228
Stage 3 last 2 conv_JF,11493042,0.02154333882331848,68.108
Stage 3 last 2 conv_Kevin,11493042,0.020412747001647948,66.542
Stage 3-5_JF,11261394,0.020310363101959224,66.178
Stage 3-5_Kevin,11261394,0.021276262283325194,64.686
Stage 3_JF,11261394,0.02149909925460815,66.148
Stage 3_Kevin,11261394,0.011082556891441345,64.666
Stage 4 first 2 conv_JF,11485050,0.011317049670219423,67.39
Stage 4 first 2 conv_Kevin,11485050,0.022038593530654904,66.19
Stage 4 last 2 conv_JF,11549418,0.019899728202819822,69.132
Stage 4 last 2 conv_Kevin,11549418,0.0216088415145874,67.416
Stage 4-5_JF,10193706,0.011852326440811158,69.344
Stage 4-5_Kevin,10193706,0.02071329288482666,67.41
Stage 4_JF,10193706,0.020426264142990112,69.304
Stage 4_Kevin,10193706,0.0206056655883789,67.41
