Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Original Model_Kevin,67.264,11481338,32595197952,0.021659262561798096,756.73828125
Original Model_JF,69.03,11481338,32595197952,0.024563022422790532,756.73828125
Last 2_JF,69.01,10193706,29957373952,0.019872215938568114,685.67578125
Stage 3_JF,66.148,11261394,30792171520,0.02149909925460815,677.23828125
Stage 4-5_JF,69.344,10193706,29957373952,0.011852326440811158,685.67578125
Stage 4_JF,69.304,10193706,29957373952,0.020426264142990112,685.67578125
Last 2_Kevin,67.408,10193706,29957373952,0.02083360643386841,685.67578125
Stage 3_Kevin,64.666,11261394,30792171520,0.011082556891441345,677.23828125
Stage 4_Kevin,67.41,10193706,29957373952,0.0206056655883789,685.67578125
Stage 3-5_JF,66.178,11261394,30792171520,0.020310363101959224,677.23828125
Stage 1-5_JF,66.21,11476082,31903137792,0.021518235301971438,650.61328125
Stage 3 last 2 conv_JF,68.108,11493042,32689831936,0.02154333882331848,705.73828125
Stage 3 last 2 conv_Kevin,66.542,11493042,32689831936,0.020412747001647948,705.73828125
Stage 3-5_Kevin,64.686,11261394,30792171520,0.021276262283325194,677.23828125
Stage 4-5_Kevin,67.41,10193706,29957373952,0.02071329288482666,685.67578125
Stage 3 first 2 conv_JF,61.716,11481714,32602537984,0.020336283159255984,709.11328125
Stage 4 first 2 conv_Kevin,66.19,11485050,32622592000,0.022038593530654904,705.73828125
Stage 3 first 2 conv_Kevin,61.228,11481714,32602537984,0.020682745742797853,709.11328125
Stage 1-5_Kevin,63.338,11476082,31903137792,0.021156887960433957,650.61328125
Stage 4 last 2 conv_JF,69.132,11549418,32733872128,0.019899728202819822,702.92578125
Stage 1 last 2 conv_Kevin,64.034,11476418,31947177984,0.011203404736518858,680.61328125
Stage 1 last 2 conv_JF,66.716,11476418,31947177984,0.018427510404586796,680.61328125
Stage 4 first 2 conv_JF,67.39,11485050,32622592000,0.011317049670219423,705.73828125
Stage 1 first 2 conv_Kevin,63.748,11476706,31984926720,0.021810380792617795,686.61328125
Stage 1 first 2 conv_JF,66.298,11476706,31984926720,0.021931833600997923,686.61328125
Stage 4 last 2 conv_Kevin,67.416,11549418,32733872128,0.0216088415145874,702.92578125
