name,ΔAcc,ΔParams(%)
Original Model_JF,0.0,0.0
Stage 4_Kevin,-1.8379999999999939,-11.807961754980125
Stage 4-5_JF,-0.033999999999991815,-11.807961754980125
Stage 4-5_Kevin,-2.0120000000000005,-11.807961754980125
Stage 4 last 2 conv_JF,-0.40800000000000125,0.0
Stage 2-5_JF,-13.415999999999997,-0.2750898893491333
Stage 2-5_Kevin,-13.872,-0.2750898893491333
Stage 4 last 2 conv_Kevin,-1.7759999999999962,0.0
Stage 2_JF,-13.415999999999997,-0.2750898893491333
Stage 3 last 2 conv_Kevin,-2.3400000000000034,0.0
Stage 1-5_JF,-3.4200000000000017,-0.05100450835956576
Stage 1 last 2 conv_JF,-2.1259999999999906,-0.045569601731087435
Stage 2 last 2 conv_JF,-11.431999999999995,-0.2468005035650026
Stage 2 last 2 conv_Kevin,-11.961999999999996,-0.2468005035650026
