name,ΔAcc,ΔParams(%)
Original Model_Kevin,0.0,0.0
Last 2_JF,1.0759999999999934,-11.807961754980125
Original Model_JF,1.7360000000000042,0.0
Stage 4_JF,1.1200000000000045,-11.807961754980125
Stage 3_Kevin,-2.5379999999999967,-2.0176045683874126
Last 2_Kevin,-0.6380000000000052,-11.807961754980125
Stage 4_Kevin,-0.34199999999999875,-11.807961754980125
Stage 3_JF,-0.9639999999999986,-2.0176045683874126
Stage 2_JF,-11.364000000000004,-0.2750898893491333
Stage 2_Kevin,-11.442,-0.2750898893491333
Stage 4-5_JF,1.2019999999999982,-11.807961754980125
Stage 3-5_JF,-0.9920000000000044,-2.0176045683874126
Stage 4-5_Kevin,-0.34199999999999875,-11.807961754980125
Stage 2-5_JF,-11.302,-0.2750898893491333
Stage 3-5_Kevin,-2.5259999999999962,-2.0176045683874126
Stage 1-5_JF,-0.9000000000000057,-0.05100450835956576
Stage 1-5_Kevin,-3.3000000000000043,-0.05100450835956576
Stage 1 last 2 conv_Kevin,-2.960000000000008,-0.045569601731087435
Stage 4 last 2 conv_JF,1.024000000000001,0.0
Stage 3 last 2 conv_JF,0.7019999999999982,0.0
Stage 2 last 2 conv_JF,-9.616,-0.2468005035650026
Stage 3 first 2 conv_JF,-4.334000000000003,0.0
Stage 3 first 2 conv_Kevin,-5.1739999999999995,0.0
Stage 4 first 2 conv_JF,0.4579999999999984,0.0
Stage 2 first 2 conv_JF,-11.149999999999999,-0.2468005035650026
Stage 2 last 2 conv_Kevin,-10.328000000000003,-0.2468005035650026
Stage 4 first 2 conv_Kevin,-1.4519999999999982,0.0
Stage 4 last 2 conv_Kevin,-0.0660000000000025,0.0
Stage 2-5_Kevin,-11.43,-0.2750898893491333
