Model,FLOPs,Inference Time (s)
Original Model_JF,32595197952.0,0.0215090672492981
Last 2_JF,29957373952.0,0.019778960037231445
Original Model_Kevin,32595197952.0,0.011263110327720642
Last 2_Kevin,29957373952.0,0.010966150331497195
Stage 4_Kevin,29957373952.0,0.019739329576492312
Stage 3_Kevin,30792171520.0,0.021095160007476806
Stage 4_JF,29957373952.0,0.02101957926750183
Stage 3_JF,30792171520.0,0.010932743978500366
Stage 4-5_JF,29957373952.0,0.010750454258918761
Stage 4-5_Kevin,29957373952.0,0.01987977910041809
Stage 3-5_JF,30792171520.0,0.021095371103286745
Stage 3-5_Kevin,30792171520.0,0.010972038340568544
Stage 1-5_JF,31903137792.0,0.010989767980575563
Stage 1-5_Kevin,31903137792.0,0.020221921443939212
Stage 4 last 2 conv_JF,32733872128.0,0.0212187198638916
Stage 4 last 2 conv_Kevin,32733872128.0,0.011334588694572446
Stage 3 last 2 conv_JF,32689831936.0,0.02257002878189087
Stage 3 last 2 conv_Kevin,32689831936.0,0.02079807367324829
Stage 1 last 2 conv_JF,31947177984.0,0.021443572854995728
Stage 4 first 2 conv_JF,32622592000.0,0.011270096015930176
Stage 1 last 2 conv_Kevin,31947177984.0,0.01147867205142975
Stage 3 first 2 conv_Kevin,32602537984.0,0.02167867202758789
Stage 1 first 2 conv_JF,31984926720.0,0.02136899032592773
Stage 3 first 2 conv_JF,32602537984.0,0.022167247819900513
