Model,FLOPs,Memory (MB)
Original Model_JF,32595197952.0,756.73828125
Last 2_JF,29957373952.0,685.67578125
Original Model_Kevin,32595197952.0,756.73828125
Last 2_Kevin,29957373952.0,685.67578125
Stage 4_Kevin,29957373952.0,685.67578125
Stage 3_Kevin,30792171520.0,677.23828125
Stage 4_JF,29957373952.0,685.67578125
Stage 3_JF,30792171520.0,677.23828125
Stage 4-5_JF,29957373952.0,685.67578125
Stage 4-5_Kevin,29957373952.0,685.67578125
Stage 3-5_JF,30792171520.0,677.23828125
Stage 3-5_Kevin,30792171520.0,677.23828125
Stage 1-5_JF,31903137792.0,650.61328125
Stage 1-5_Kevin,31903137792.0,650.61328125
Stage 4 last 2 conv_JF,32733872128.0,702.92578125
Stage 4 last 2 conv_Kevin,32733872128.0,702.92578125
Stage 3 last 2 conv_JF,32689831936.0,705.73828125
Stage 3 last 2 conv_Kevin,32689831936.0,705.73828125
Stage 1 last 2 conv_JF,31947177984.0,680.61328125
Stage 4 first 2 conv_JF,32622592000.0,705.73828125
Stage 1 last 2 conv_Kevin,31947177984.0,680.61328125
Stage 3 first 2 conv_Kevin,32602537984.0,709.11328125
Stage 1 first 2 conv_JF,31984926720.0,686.61328125
Stage 3 first 2 conv_JF,32602537984.0,709.11328125
