Model,Accuracy,Memory (MB)
Original Model_Kevin,67.286,756.73828125
Last 2_JF,68.362,681.36328125
Original Model_JF,69.022,756.73828125
Stage 4_JF,68.406,681.36328125
Stage 3_Kevin,64.748,670.11328125
Last 2_Kevin,66.648,681.36328125
Stage 4_Kevin,66.944,681.36328125
Stage 3_JF,66.322,670.11328125
Stage 2_JF,55.922,593.61328125
Stage 2_Kevin,55.844,593.61328125
Stage 4-5_JF,68.488,681.36328125
Stage 3-5_JF,66.294,670.11328125
Stage 4-5_Kevin,66.944,681.36328125
Stage 2-5_JF,55.984,593.61328125
Stage 3-5_Kevin,64.76,670.11328125
