name,ΔAcc,ΔParams(%)
Original Model_JF,0.0,0.0
Last 2_JF,-0.012000000000000455,-11.214999506155118
Original Model_Kevin,-1.7360000000000042,0.0
Last 2_Kevin,-1.8520000000000039,-11.214999506155118
Stage 4_Kevin,-1.612000000000009,-11.214999506155118
Stage 3_Kevin,-4.306000000000012,-1.9156652299583898
Stage 4_JF,0.2560000000000002,-11.214999506155118
Stage 3_JF,-2.912000000000006,-1.9156652299583898
Stage 4-5_JF,0.3219999999999885,-11.214999506155118
Stage 4-5_Kevin,-1.612000000000009,-11.214999506155118
Stage 3-5_JF,-2.8440000000000083,-1.9156652299583898
Stage 3-5_Kevin,-4.356000000000009,-1.9156652299583898
Stage 1-5_JF,-2.754000000000005,-0.04577863660141353
Stage 1-5_Kevin,-5.510000000000005,-0.04577863660141353
Stage 4 last 2 conv_JF,0.17399999999999238,0.5929622488250063
Stage 4 last 2 conv_Kevin,-1.6060000000000088,0.5929622488250063
Stage 3 last 2 conv_JF,-0.9780000000000086,0.10193933842902282
Stage 3 last 2 conv_Kevin,-2.5600000000000023,0.10193933842902282
Stage 1 last 2 conv_JF,-2.3100000000000023,-0.042852148416848285
Stage 4 first 2 conv_JF,-1.632000000000005,0.03233072661043512
Stage 1 last 2 conv_Kevin,-4.9879999999999995,-0.042852148416848285
Stage 3 first 2 conv_Kevin,-7.656000000000006,0.0032748796351087304
Stage 1 first 2 conv_JF,-2.7240000000000038,-0.04034372997293521
Stage 3 first 2 conv_JF,-7.398000000000003,0.0032748796351087304
Stage 4 first 2 conv_Kevin,-2.832000000000008,0.03233072661043512
