Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Original Model_JF,69.022,11481338,32595197952,0.0215090672492981,756.73828125
Last 2_JF,69.01,10193706,29957373952,0.019778960037231445,685.67578125
Original Model_Kevin,67.286,11481338,32595197952,0.011263110327720642,756.73828125
Last 2_Kevin,67.17,10193706,29957373952,0.010966150331497195,685.67578125
Stage 4_Kevin,67.41,10193706,29957373952,0.019739329576492312,685.67578125
Stage 3_Kevin,64.716,11261394,30792171520,0.021095160007476806,677.23828125
Stage 4_JF,69.278,10193706,29957373952,0.02101957926750183,685.67578125
Stage 3_JF,66.11,11261394,30792171520,0.010932743978500366,677.23828125
Stage 4-5_JF,69.344,10193706,29957373952,0.010750454258918761,685.67578125
Stage 4-5_Kevin,67.41,10193706,29957373952,0.01987977910041809,685.67578125
Stage 3-5_JF,66.178,11261394,30792171520,0.021095371103286745,677.23828125
Stage 3-5_Kevin,64.666,11261394,30792171520,0.010972038340568544,677.23828125
Stage 1-5_JF,66.268,11476082,31903137792,0.010989767980575563,650.61328125
Stage 1-5_Kevin,63.512,11476082,31903137792,0.020221921443939212,650.61328125
Stage 4 last 2 conv_JF,69.196,11549418,32733872128,0.0212187198638916,702.92578125
Stage 4 last 2 conv_Kevin,67.416,11549418,32733872128,0.011334588694572446,702.92578125
