layer,params,flops
stem.stem_conv,864,221184
stem.stem_bn,64,16384
stem.stem_relu,0,0
stage1.stage1_block0.block.conv1,768,196608
stage1.stage1_block0.block.bn1,48,12288
stage1.stage1_block0.block.relu1,0,0
stage1.stage1_block0.block.conv2,5184,1327104
stage1.stage1_block0.block.bn2,48,12288
stage1.stage1_block0.block.relu2,0,0
stage1.stage1_block0.block.conv3,576,147456
stage1.stage1_block0.block.bn3,48,12288
stage1.stage1_block0.shortcut.shortcut_conv,768,196608
stage1.stage1_block0.shortcut.shortcut_bn,48,12288
stage1.stage1_block0.relu,0,0
stage2.stage2_block0.block.conv1,1344,344064
stage2.stage2_block0.block.bn1,112,28672
stage2.stage2_block0.block.relu1,0,0
stage2.stage2_block0.block.conv2,28224,1806336
stage2.stage2_block0.block.bn2,112,7168
stage2.stage2_block0.block.relu2,0,0
stage2.stage2_block0.block.conv3,3136,200704
stage2.stage2_block0.block.bn3,112,7168
stage2.stage2_block0.shortcut.shortcut_conv,1344,86016
stage2.stage2_block0.shortcut.shortcut_bn,112,7168
stage2.stage2_block0.relu,0,0
stage3.stage3_block0.block.conv1,8512,544768
stage3.stage3_block0.block.bn1,304,19456
stage3.stage3_block0.block.relu1,0,0
stage3.stage3_block0.block.conv2,207936,3326976
stage3.stage3_block0.block.bn2,304,4864
stage3.stage3_block0.block.relu2,0,0
stage3.stage3_block0.block.conv3,23104,369664
stage3.stage3_block0.block.bn3,304,4864
stage3.stage3_block0.shortcut.shortcut_conv,8512,136192
stage3.stage3_block0.shortcut.shortcut_bn,304,4864
stage3.stage3_block0.relu,0,0
stage3.stage3_block1.block.conv1,23104,369664
stage3.stage3_block1.block.bn1,304,4864
stage3.stage3_block1.block.relu1,0,0
stage3.stage3_block1.block.conv2,207936,3326976
stage3.stage3_block1.block.bn2,304,4864
stage3.stage3_block1.block.relu2,0,0
stage3.stage3_block1.block.conv3,23104,369664
stage3.stage3_block1.block.bn3,304,4864
stage3.stage3_block1.shortcut,0,0
stage3.stage3_block1.relu,0,0
stage3.stage3_block2.block.conv1,23104,369664
stage3.stage3_block2.block.bn1,304,4864
stage3.stage3_block2.block.relu1,0,0
stage3.stage3_block2.block.conv2,207936,3326976
stage3.stage3_block2.block.bn2,304,4864
stage3.stage3_block2.block.relu2,0,0
stage3.stage3_block2.block.conv3,23104,369664
stage3.stage3_block2.block.bn3,304,4864
stage3.stage3_block2.shortcut,0,0
stage3.stage3_block2.relu,0,0
stage3.stage3_block3.block.conv1,23104,369664
stage3.stage3_block3.block.bn1,304,4864
stage3.stage3_block3.block.relu1,0,0
stage3.stage3_block3.block.conv2,207936,3326976
stage3.stage3_block3.block.bn2,304,4864
stage3.stage3_block3.block.relu2,0,0
stage3.stage3_block3.block.conv3,23104,369664
stage3.stage3_block3.block.bn3,304,4864
stage3.stage3_block3.shortcut,0,0
stage3.stage3_block3.relu,0,0
stage4.stage4_block0.block.conv1,55936,894976
stage4.stage4_block0.block.bn1,736,11776
stage4.stage4_block0.block.relu1,0,0
stage4.stage4_block0.block.conv2,1218816,4875264
stage4.stage4_block0.block.bn2,736,2944
stage4.stage4_block0.block.relu2,0,0
stage4.stage4_block0.block.conv3,135424,541696
stage4.stage4_block0.block.bn3,736,2944
stage4.stage4_block0.shortcut.shortcut_conv,55936,223744
stage4.stage4_block0.shortcut.shortcut_bn,736,2944
stage4.stage4_block0.relu,0,0
stage4.stage4_block1.block.conv1,135424,541696
stage4.stage4_block1.block.bn1,736,2944
stage4.stage4_block1.block.relu1,0,0
stage4.stage4_block1.block.conv2,1218816,4875264
stage4.stage4_block1.block.bn2,736,2944
stage4.stage4_block1.block.relu2,0,0
stage4.stage4_block1.block.conv3,135424,541696
stage4.stage4_block1.block.bn3,736,2944
stage4.stage4_block1.shortcut,0,0
stage4.stage4_block1.relu,0,0
stage4.stage4_block2.block.conv1,135424,541696
stage4.stage4_block2.block.bn1,736,2944
stage4.stage4_block2.block.relu1,0,0
stage4.stage4_block2.block.conv2,1218816,4875264
stage4.stage4_block2.block.bn2,736,2944
stage4.stage4_block2.block.relu2,0,0
stage4.stage4_block2.block.conv3,135424,541696
stage4.stage4_block2.block.bn3,736,2944
stage4.stage4_block2.shortcut,0,0
stage4.stage4_block2.relu,0,0
stage4.stage4_block3.block.collapsed_conv1_to_conv3_aec00c62.layer_0,101568,406272
stage4.stage4_block3.block.collapsed_conv1_to_conv3_aec00c62.layer_1,0,0
stage4.stage4_block3.block.collapsed_conv1_to_conv3_aec00c62.layer_2,101936,406272
stage4.stage4_block3.block.bn3,736,2944
stage4.stage4_block3.shortcut,0,0
stage4.stage4_block3.relu,0,0
stage4.stage4_block4.block.conv1,135424,541696
stage4.stage4_block4.block.bn1,736,2944
stage4.stage4_block4.block.relu1,0,0
stage4.stage4_block4.block.conv2,1218816,4875264
stage4.stage4_block4.block.bn2,736,2944
stage4.stage4_block4.block.relu2,0,0
stage4.stage4_block4.block.conv3,135424,541696
stage4.stage4_block4.block.bn3,736,2944
stage4.stage4_block4.shortcut,0,0
stage4.stage4_block4.relu,0,0
stage4.stage4_block5.block.conv1,135424,541696
stage4.stage4_block5.block.bn1,736,2944
stage4.stage4_block5.block.relu1,0,0
stage4.stage4_block5.block.conv2,1218816,4875264
stage4.stage4_block5.block.bn2,736,2944
stage4.stage4_block5.block.relu2,0,0
stage4.stage4_block5.block.conv3,135424,541696
stage4.stage4_block5.block.bn3,736,2944
stage4.stage4_block5.shortcut,0,0
stage4.stage4_block5.relu,0,0
stage4.stage4_block6.block.conv1,135424,541696
stage4.stage4_block6.block.bn1,736,2944
stage4.stage4_block6.block.relu1,0,0
stage4.stage4_block6.block.conv2,1218816,4875264
stage4.stage4_block6.block.bn2,736,2944
stage4.stage4_block6.block.relu2,0,0
stage4.stage4_block6.block.conv3,135424,541696
stage4.stage4_block6.block.bn3,736,2944
stage4.stage4_block6.shortcut,0,0
stage4.stage4_block6.relu,0,0
pool,0,1472
fc,3690,3680
