Model,Accuracy,Memory (MB)
Original Model_JF,14.3,1713.1953125
Stage 4_JF,17.734,1629.1953125
Stage 4_Kevin,33.126,1629.1953125
Last 2_Kevin,42.574,1707.1953125
Stage 3_Kevin,18.656,1545.1953125
Stage 3_JF,10.318,1545.1953125
Last 2_JF,26.734,1707.1953125
Original Model_Kevin,40.938,1713.1953125
Stage 4-5_JF,38.876,1569.1953125
Stage 4-5_Kevin,38.544,1569.1953125
Stage 3-5_JF,23.818,1372.1953125
Stage 3-5_Kevin,18.1,1372.1953125
Stage 2-5_Kevin,10.258,1344.1953125
Stage 2-5_JF,15.048,1344.1953125
