Model,FLOPs,Inference Time (s)
Original Model_JF,170513137664.0,0.016699038362503048
Stage 4_JF,123385937920.0,0.02835964493751526
Stage 4_Kevin,123385937920.0,0.02302156958580017
Last 2_Kevin,161652670464.0,0.030364327907562254
Stage 3_Kevin,123369160704.0,0.028303520059585568
Stage 3_JF,123369160704.0,0.04011831026077271
Last 2_JF,161652670464.0,0.03034965600967407
Original Model_Kevin,170513137664.0,0.032331075191497805
Stage 4-5_JF,108877840384.0,0.024456129693984984
Stage 4-5_Kevin,108877840384.0,0.018806407928466794
Stage 3-5_JF,64541949952.0,0.015264310312271118
Stage 3-5_Kevin,64541949952.0,0.015350043249130255
Stage 2-5_Kevin,50004492288.0,0.013571745634078976
Stage 2-5_JF,50004492288.0,0.01584958243370056
