Model,FLOPs,Memory (MB)
Original Model_JF,170513137664.0,1713.1953125
Last 2_JF,161384235008.0,1701.1953125
Original Model_Kevin,170513137664.0,1713.1953125
Last 2_Kevin,161384235008.0,1701.1953125
Stage 3_JF,123234942976.0,1521.1953125
Stage 4_Kevin,123251720192.0,1617.1953125
Stage 4_JF,123251720192.0,1617.1953125
Stage 3_Kevin,123234942976.0,1521.1953125
Stage 4-5_Kevin,108743622656.0,1557.1953125
Stage 4-5_JF,108743622656.0,1557.1953125
Stage 3-5_JF,64676167680.0,1348.1953125
Stage 3-5_Kevin,64676167680.0,1348.1953125
