Model,Params,Time,Accuracy
Last 2_JF,29688484,0.03034965600967407,26.734
Last 2_Kevin,29688484,0.030364327907562254,42.574
Original Model_JF,34015396,0.016699038362503048,14.3
Original Model_Kevin,34015396,0.032331075191497805,40.938
Stage 2-5_JF,50817700,0.013638564848899842,15.048
Stage 2-5_Kevin,50817700,0.01586329579353333,10.258
Stage 3-5_JF,25907620,0.015264310312271118,23.818
Stage 3-5_Kevin,25907620,0.015350043249130255,18.1
Stage 3_JF,32576164,0.04011831026077271,11.804
Stage 3_Kevin,32576164,0.028303520059585568,18.728
Stage 4-5_JF,21179044,0.024456129693984984,39.388
Stage 4-5_Kevin,21179044,0.018806407928466794,38.544
Stage 4_JF,28261540,0.02835964493751526,17.734
Stage 4_Kevin,28261540,0.02302156958580017,33.004
