Model,Params,Time,Accuracy
Last 2_JF,29319754,0.025870790529251102,70.776
Last 2_Kevin,29319754,0.025184811115264893,70.148
Original Model_JF,33646666,0.032243056297302244,64.506
Original Model_Kevin,33646666,0.0288813759803772,57.404
Stage 2-5_JF,50448970,0.01575184154510498,38.18
Stage 2-5_Kevin,50448970,0.034056166267395015,38.36
Stage 3-5_JF,25538890,0.029537083148956304,48.426
Stage 3-5_Kevin,25538890,0.012307163190841677,49.78
Stage 3_JF,32207434,4.6628441452980045,55.424
Stage 3_Kevin,32207434,0.02822588639259338,52.806
Stage 4-5_JF,20810314,0.01876652159690857,67.876
Stage 4-5_Kevin,20810314,0.02439304947853088,66.74
Stage 4_JF,27892810,0.02439210071563721,67.182
Stage 4_Kevin,27892810,0.024363729429244998,66.308
