Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Stage 4_JF,68.986,27875914,123062976512,0.01403314070701599,1617.01953125
Last 2_JF,67.102,29188170,161195491328,0.042823411273956294,1701.01953125
Original Model_JF,60.356,33646666,170324393984,0.04616090869903565,1713.01953125
Stage 3-5_JF,49.294,25542474,64487424000,0.019866831922531126,1348.01953125
Stage 2-5_JF,38.866,50453578,50486837248,0.009948358368873594,1296.01953125
Stage 3_JF,55.062,32203082,123046199296,0.0235726270198822,1521.01953125
Stage 3_Kevin,52.178,32203082,123046199296,0.04077780771255494,1521.01953125
Stage 3-5_Kevin,51.038,25542474,64487424000,0.014899153614044192,1348.01953125
Stage 4-5_JF,67.508,20793418,108554878976,0.03462386379241943,1557.01953125
Stage 4-5_Kevin,68.318,20793418,108554878976,0.018553588867187498,1557.01953125
