Model,FLOPs,Inference Time (s)
Stage 4_JF,123197194240.0,0.028164366531372064
Stage 3_Kevin,123180417024.0,0.02822588639259338
Stage 3_JF,123180417024.0,4.6628441452980045
Original Model_Kevin,170324393984.0,0.0288813759803772
Original Model_JF,170324393984.0,0.032243056297302244
Last 2_JF,161463926784.0,0.044093054294586174
Last 2_Kevin,161463926784.0,0.029449756860733027
Stage 4_Kevin,123197194240.0,0.024363729429244998
Stage 4-5_JF,108689096704.0,0.024432918405532834
Stage 4-5_Kevin,108689096704.0,0.02439304947853088
Stage 3-5_JF,64353206272.0,0.029537083148956304
Stage 3-5_Kevin,64353206272.0,0.012307163190841677
Stage 2-5_JF,49815748608.0,0.01575184154510498
Stage 2-5_Kevin,49815748608.0,0.034056166267395015
