Model,Params,Time,Accuracy
Original Model_JF,33646666,0.02681450738906861,63.034
Original Model_Kevin,33646666,0.027076403141021728,57.404
Stage 2-5_JF,50453578,0.014816332864761347,38.53
Stage 2-5_Kevin,50453578,0.01491149935722351,39.722
Stage 3-5_JF,25542474,0.01488371992111206,49.974
Stage 3-5_Kevin,25542474,0.01997817277908325,49.678
Stage 3_JF,32203082,0.013841612648963927,55.056
Stage 3_Kevin,32203082,0.024583694410324097,50.0
Stage 4-5_JF,20793418,0.023751024150848392,67.39
Stage 4-5_Kevin,20793418,0.01281405761241913,67.508
Stage 4_JF,27875914,0.014176972770690915,67.802
Stage 4_Kevin,27875914,0.024277534246444705,66.284
