Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Last 2_Kevin,68.02,29319754,161463926784,0.01661600308418274,1707.01953125
Last 2_JF,70.698,29319754,161463926784,0.016598313665390014,1707.01953125
Original Model_JF,60.77,33646666,170324393984,0.046338785934448234,1713.01953125
Original Model_Kevin,62.412,33646666,170324393984,0.04702489576339723,1713.01953125
Stage 4_Kevin,67.178,27892810,123197194240,0.027513918447494505,1629.01953125
Stage 4_JF,67.444,27892810,123197194240,0.028126726436614992,1629.01953125
Stage 3_JF,56.104,32207434,123180417024,0.014165176010131836,1545.01953125
Stage 3_Kevin,53.854,32207434,123180417024,0.014117836761474606,1545.01953125
Stage 3-5_JF,48.506,25538890,64353206272,0.020265699195861818,1372.01953125
Stage 4-5_JF,67.254,20810314,108689096704,0.034373729801177984,1569.01953125
Stage 3-5_Kevin,49.078,25538890,64353206272,0.020260398387908933,1372.01953125
Stage 4-5_Kevin,67.494,20810314,108689096704,0.03459602212905883,1569.01953125
Stage 2-5_Kevin,38.774,50448970,49815748608,0.011181516742706298,1344.01953125
