layer,params,flops
features.conv_1,1792,1769472
features.relu_1,0,0
features.bn_1,128,131072
features.conv_2,36928,37748736
features.relu_2,0,0
features.bn_2,128,131072
features.pool_1,0,0
features.conv_3,73856,18874368
features.relu_3,0,0
features.bn_3,256,65536
features.conv_4,147584,37748736
features.relu_4,0,0
features.bn_4,256,65536
features.pool_2,0,0
features.collapsed_conv_5_to_conv_13_54f4a857.layer_0,12288,786432
features.collapsed_conv_5_to_conv_13_54f4a857.layer_1,0,0
features.collapsed_conv_5_to_conv_13_54f4a857.layer_2,49664,3145728
features.collapsed_conv_5_to_conv_13_54f4a857.layer_3,0,0
features.relu_13,0,0
features.bn_13,1024,16384
features.pool_5,0,0
classifier.fc_1,8392704,8388608
classifier.relu_1,0,0
classifier.dropout_1,0,0
classifier.fc_2,16781312,16777216
classifier.relu_2,0,0
classifier.dropout_2,0,0
classifier.fc_3,40970,40960
