Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Last 2_Kevin,0.8017779659223193,0.6531230082855322,0.9137456159470545,0.8454505322964901,0.9671232876712329
Stage 3_Kevin,0.025293681871097172,0.8876872211599746,0.5532922503814374,0.0,0.473972602739726
Original Model_JF,0.5530743994073445,1.0,1.0,1.0,1.0
Original Model_Kevin,0.5014287226161497,1.0,1.0,0.9999871675723325,1.0
Last 2_JF,0.9100433908350088,0.6531230082855322,0.9137456159470545,0.850966072672466,0.9671232876712329
Stage 3_JF,0.27653719970367224,0.8876872211599746,0.5532922503814374,0.6954860041934072,0.473972602739726
Stage 4_JF,1.0,0.551027724665392,0.5534507698099749,0.7847534032931991,0.736986301369863
Stage 4_Kevin,0.8744840723886126,0.551027724665392,0.5534507698099749,0.7539988157028665,0.736986301369863
Stage 4-5_Kevin,0.9816911842523016,0.0,0.4163710939822062,0.4322968517221273,0.5726027397260274
Stage 3-5_JF,0.0,0.3694829509241555,0.0,0.19039200435753895,0.0
