Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Stage 4_JF,67.182,27892810,123197194240,0.02439210071563721,1629.01953125
Stage 3_Kevin,52.806,32207434,123180417024,0.02822588639259338,1545.01953125
Stage 3_JF,55.424,32207434,123180417024,4.6628441452980045,1545.01953125
Original Model_Kevin,57.404,33646666,170324393984,0.0288813759803772,1713.01953125
Original Model_JF,64.506,33646666,170324393984,0.032243056297302244,1713.01953125
Last 2_JF,70.776,29319754,161463926784,0.025870790529251102,1707.01953125
Last 2_Kevin,70.148,29319754,161463926784,0.025184811115264893,1707.01953125
Stage 4_Kevin,66.098,27892810,123197194240,5.752942752838135,1629.01953125
Stage 4-5_JF,67.876,20810314,108689096704,0.01876652159690857,1569.01953125
Stage 4-5_Kevin,68.052,20810314,108689096704,0.018864417934417725,1569.01953125
Stage 3-5_JF,48.506,25538890,64353206272,0.02030421767234802,1372.01953125
Stage 3-5_Kevin,49.078,25538890,64353206272,0.020285388803482053,1372.01953125
Stage 2-5_JF,38.598,50448970,49815748608,0.011876382446289063,1344.01953125
Stage 2-5_Kevin,38.774,50448970,49815748608,0.011186039996147158,1344.01953125
