Model,Parameters,Accuracy,Inference Time (s),Memory Usage (bytes),FLOPs
Stage 4-5_Kevin,20793418,67.508,0.01281405761241913,1557.01953125,108554878976
Stage 4-5_JF,20793418,67.39,0.023751024150848392,1557.01953125,108554878976
Stage 3-5_Kevin,25542474,49.678,0.01997817277908325,1348.01953125,64487424000
Stage 3-5_JF,25542474,49.974,0.01488371992111206,1348.01953125,64487424000
Stage 4_JF,27875914,67.802,0.014176972770690915,1617.01953125,123062976512
Stage 4_Kevin,27875914,66.284,0.024277534246444705,1617.01953125,123062976512
Stage 3_JF,32203082,55.056,0.013841612648963927,1521.01953125,123046199296
Stage 3_Kevin,32203082,50.0,0.024583694410324097,1521.01953125,123046199296
Original Model_Kevin,33646666,57.404,0.027076403141021728,1713.01953125,170324393984
Original Model_JF,33646666,63.034,0.02681450738906861,1713.01953125,170324393984
Stage 2-5_JF,50453578,38.53,0.014816332864761347,1296.01953125,50486837248
Stage 2-5_Kevin,50453578,39.722,0.01491149935722351,1296.01953125,50486837248
