model,variant,clean_accuracy_mean,clean_accuracy_std,control_clean_accuracy,clean_accuracy_delta_from_control
ConvNeXt,Control_Continuted,58.58500000000001,0.0,58.58500000000001,0.0
ConvNeXt,Dynamic_Region_All_Combined,6.2749999999999995,7.304413049657035,58.58500000000001,-52.31000000000001
ConvNeXt,Dynamic_Region_All_Combined_quant,5.140000000000001,6.236681810065349,58.58500000000001,-53.44500000000001
InceptionNet,Control_Continuted,72.89777777777778,0.0,72.89777777777778,0.0
InceptionNet,Dynamic_Region_All_Combined,73.47222222222223,15.252196380995246,72.89777777777778,0.5744444444444525
InceptionNet,Dynamic_Region_All_Combined_quant,73.38888888888889,15.199226497131733,72.89777777777778,0.4911111111111097
MobileNet,Control_Continuted,43.4,0.0,43.4,0.0
RegNetX_400MF,Control_Continuted,54.945,0.0,54.945,0.0
RegNetX_400MF,Dynamic_Region_All_Combined,59.300000000000004,22.378096433789896,54.945,4.355000000000004
RegNetX_400MF,Dynamic_Region_All_Combined_quant,56.985,24.242937803272387,54.945,2.039999999999999
VGG16,Control_Continuted,46.63,0.0,46.63,0.0
VGG16,Dynamic_Region_All_Combined,91.67,0.0,46.63,45.04
VGG16,Dynamic_Region_All_Combined_quant,91.45,0.0,46.63,44.82
XceptionNet,Control_Continuted,59.77,0.0,59.77,0.0
XceptionNet,Dynamic_Region_All_Combined,60.099999999999994,,59.77,0.3299999999999912
XceptionNet,Dynamic_Region_All_Combined_quant,60.150000000000006,,59.77,0.38000000000000256
