model,dataset,original_clean_acc,original_robust_accuracy_mean,original_attack_success_rate_mean,original_param_count,collapsed_clean_acc,collapsed_robust_accuracy_mean,collapsed_attack_success_rate_mean,collapsed_param_count,collapsed_minus_original_clean_acc,params_reduction_percent
ConvNeXt,Cifar10,0.7524799999999999,0.23048000000000002,0.76952,27827818.0,0.09751666666666668,0.05281666666666666,0.9471833333333333,2482666.0,-0.6549633333333332,91.07847406505246
ConvNeXt,Cifar100,0.4119,0.06636666666666667,0.9336333333333333,27897028.0,0.0104,0.002683333333333333,0.9973166666666667,2551876.0,-0.40149999999999997,90.85251661933307
InceptionNet,Cifar10,0.8527285714285714,0.3106714285714286,0.6893285714285715,5991082.0,0.8633571428571428,0.331,0.6689999999999999,3809226.0,0.010628571428571432,36.41839654339567
InceptionNet,Cifar100,0.549,0.13941666666666666,0.8605833333333334,6083332.0,0.5740500000000001,0.17245,0.82755,3901476.0,0.025050000000000017,35.8661338884677
MobileNet,Cifar10,0.7835857142857143,0.22080000000000002,0.7792,3217226.0,,,,,,
MobileNet,Cifar100,0.42555714285714286,0.07585714285714286,0.9241428571428572,3309476.0,,,,,,
RegNetX_400MF,Cifar10,0.7167666666666667,0.13198333333333334,0.8680166666666667,4776362.0,0.7867666666666667,0.18913333333333335,0.8108666666666666,3997610.0,0.07000000000000006,16.30429184387615
RegNetX_400MF,Cifar100,0.3527571428571429,0.05737142857142857,0.9426285714285714,4811012.0,0.39910000000000007,0.07588571428571429,0.9241142857142857,4032260.0,0.046342857142857186,16.18686463471719
VGG16,Cifar10,0.9204,0.2629666666666667,0.7370333333333333,33663050.0,0.9166142857142857,0.2618714285714286,0.7381285714285715,21893450.0,-0.003785714285714281,34.96296384314552
VGG16,Cifar100,0.5487428571428571,0.08457142857142856,0.9154285714285715,34031780.0,0.6784571428571429,0.12149999999999998,0.8785,22623396.0,0.12971428571428578,33.522736689059464
XceptionNet,Cifar10,0.87126,0.2644,0.7356,20827442.0,0.8875599999999999,0.3097,0.6902999999999999,11193490.0,0.01629999999999987,46.25605007086324
XceptionNet,Cifar100,0.5917428571428571,0.13937142857142856,0.8606285714285714,21011852.0,0.601,0.1596857142857143,0.8403142857142857,13481196.0,0.009257142857142853,35.840039231192
