model,dataset,kind,block_start,block_end,boundary_cka
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,features.conv_5,features.conv_10,0.8880078433670946
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,features.conv_12,features.conv_13,0.7959112663333755
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,features.conv_5,features.conv_10,0.8525799617089899
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,features.conv_12,features.conv_13,0.8306672704480301
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage3.stage3_block2.block.conv2,stage3.stage3_block2.block.conv3,0.9505296506519619
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage3.stage3_block3.block.conv2,stage3.stage3_block3.block.conv3,0.9342441309818733
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage3.stage3_block4.block.conv2,stage3.stage3_block4.block.conv3,0.925048700650265
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage3.stage3_block5.block.conv2,stage3.stage3_block5.block.conv3,0.9136756631948387
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage3.stage3_block6.block.conv2,stage3.stage3_block6.block.conv3,0.8829300147944553
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.stage4_block0.block.conv2,stage4.stage4_block0.block.conv3,0.814944183993829
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.stage4_block1.block.conv2,stage4.stage4_block1.block.conv3,0.9258871436073148
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.stage4_block2.block.conv2,stage4.stage4_block2.block.conv3,0.8798485930733508
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.stage4_block3.block.conv2,stage4.stage4_block3.block.conv3,0.9252196240642119
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.stage4_block4.block.conv2,stage4.stage4_block4.block.conv3,0.9463845539066134
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.stage4_block5.block.conv2,stage4.stage4_block5.block.conv3,0.9112445757353466
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.stage4_block6.block.conv2,stage4.stage4_block6.block.conv3,0.932174451917907
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.stage4_block7.block.conv2,stage4.stage4_block7.block.conv3,0.8394250055968814
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.stage4_block8.block.conv2,stage4.stage4_block8.block.conv3,0.8455556108391027
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.stage4_block9.block.conv2,stage4.stage4_block9.block.conv3,0.5297568144506315
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.stage4_block10.block.conv2,stage4.stage4_block10.block.conv3,0.8162567403301159
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.stage4_block11.block.conv2,stage4.stage4_block11.block.conv3,0.8683632455077881
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage3.stage3_block2.block.conv2,stage3.stage3_block2.block.conv3,0.9233763791555305
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage3.stage3_block3.block.conv2,stage3.stage3_block3.block.conv3,0.9485063426500998
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage3.stage3_block4.block.conv2,stage3.stage3_block4.block.conv3,0.9497994794108537
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage3.stage3_block5.block.conv2,stage3.stage3_block5.block.conv3,0.9181997857505664
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage3.stage3_block6.block.conv2,stage3.stage3_block6.block.conv3,0.9052760958680567
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.stage4_block0.block.conv2,stage4.stage4_block0.block.conv3,0.7987177854592097
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.stage4_block1.block.conv2,stage4.stage4_block1.block.conv3,0.9427477529948454
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.stage4_block2.block.conv2,stage4.stage4_block2.block.conv3,0.7869352157986276
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.stage4_block3.block.conv2,stage4.stage4_block3.block.conv3,0.8564945990552366
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.stage4_block4.block.conv2,stage4.stage4_block4.block.conv3,0.9204780210330338
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.stage4_block5.block.conv2,stage4.stage4_block5.block.conv3,0.9196526790887937
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.stage4_block6.block.conv2,stage4.stage4_block6.block.conv3,0.8977744358411972
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.stage4_block7.block.conv2,stage4.stage4_block7.block.conv3,0.6924453316905274
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.stage4_block8.block.conv2,stage4.stage4_block8.block.conv3,0.8828670014911212
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.stage4_block9.block.conv2,stage4.stage4_block9.block.conv3,0.8033614782834363
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.stage4_block10.block.conv2,stage4.stage4_block10.block.conv3,0.766263598829438
RegNetX_400MF,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.stage4_block11.block.conv2,stage4.stage4_block11.block.conv3,0.7650093872751995
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.inception_4a.branch3.1.conv,stage4.inception_4b.branch2.0.conv,
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.inception_4b.branch3.0.conv,stage4.inception_4c.branch2.0.conv,
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.inception_4c.branch3.0.conv,stage4.inception_4d.branch2.0.conv,
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.inception_4d.branch3.0.conv,stage4.inception_4e.branch2.0.conv,
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage4.inception_4e.branch3.0.conv,stage4.inception_4e.branch4.1.conv,1.0
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,stage5.inception_5b.branch2.1.conv,stage5.inception_5b.branch3.1.conv,
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.inception_4a.branch3.1.conv,stage4.inception_4b.branch2.0.conv,
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.inception_4b.branch3.0.conv,stage4.inception_4c.branch2.0.conv,
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.inception_4c.branch3.0.conv,stage4.inception_4d.branch2.0.conv,
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.inception_4d.branch3.0.conv,stage4.inception_4e.branch2.0.conv,
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage4.inception_4e.branch3.0.conv,stage4.inception_4e.branch4.1.conv,1.0
InceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,stage5.inception_5b.branch2.1.conv,stage5.inception_5b.branch3.1.conv,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,middle_flow.0.rep.4.depthwise,middle_flow.0.rep.7.depthwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,middle_flow.1.rep.4.depthwise,middle_flow.1.rep.7.depthwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,middle_flow.2.rep.4.depthwise,middle_flow.2.rep.7.depthwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,middle_flow.3.rep.4.depthwise,middle_flow.3.rep.7.depthwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,middle_flow.4.rep.4.depthwise,middle_flow.4.rep.7.depthwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,middle_flow.5.rep.4.depthwise,middle_flow.5.rep.7.depthwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,middle_flow.6.rep.4.depthwise,middle_flow.6.rep.7.depthwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,middle_flow.7.rep.4.depthwise,middle_flow.7.rep.7.pointwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,block4.rep.1.depthwise,conv4.pointwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,middle_flow.0.rep.4.depthwise,middle_flow.0.rep.7.depthwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,middle_flow.1.rep.4.depthwise,middle_flow.1.rep.7.depthwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,middle_flow.2.rep.4.depthwise,middle_flow.2.rep.7.depthwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,middle_flow.3.rep.4.depthwise,middle_flow.3.rep.7.depthwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,middle_flow.4.rep.4.depthwise,middle_flow.4.rep.7.depthwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,middle_flow.5.rep.4.depthwise,middle_flow.5.rep.7.depthwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,middle_flow.6.rep.4.depthwise,middle_flow.6.rep.7.depthwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,middle_flow.7.rep.4.depthwise,middle_flow.7.rep.7.pointwise,
XceptionNet,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,block4.rep.1.depthwise,conv4.pointwise,
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,features.2.1.dwconv,features.2.1.pwconv1,
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,features.2.2.dwconv,features.2.2.pwconv1,
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,features.3.1,features.4.0.pwconv1,
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,features.4.2.pwconv2,features.4.3.dwconv,
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,features.4.8.dwconv,features.4.8.pwconv2,
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,features.6.0.dwconv,features.6.0.pwconv2,
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,features.6.1.pwconv1,features.6.2.pwconv2,
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,features.2.1.dwconv,features.2.1.pwconv1,
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,features.2.2.dwconv,features.2.2.pwconv1,
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,features.3.1,features.4.0.pwconv1,
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,features.4.2.pwconv2,features.4.3.dwconv,
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,features.4.8.dwconv,features.4.8.pwconv2,
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,features.6.0.dwconv,features.6.0.pwconv2,
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,features.6.1.pwconv1,features.6.2.pwconv2,
