source_model,source_kind,source_label,target_model,target_kind,target_label,dataset,layer,cka,same_architecture,same_kind,pair_type
VGG16,Control_Continuted,VGG16 (Control Continued),VGG16,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),Cifar10_epochs100_pretrain300,features.conv_1,,True,False,same_arch_cross_kind
VGG16,Control_Continuted,VGG16 (Control Continued),VGG16,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),Cifar10_epochs100_pretrain300,features.conv_3,,True,False,same_arch_cross_kind
VGG16,Control_Continuted,VGG16 (Control Continued),VGG16,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),Cifar10_epochs100_pretrain300,features.conv_5,,True,False,same_arch_cross_kind
VGG16,Control_Continuted,VGG16 (Control Continued),VGG16,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),Cifar10_epochs100_pretrain300,features.conv_7,,True,False,same_arch_cross_kind
VGG16,Control_Continuted,VGG16 (Control Continued),VGG16,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),Cifar10_epochs100_pretrain300,features.conv_9,,True,False,same_arch_cross_kind
VGG16,Control_Continuted,VGG16 (Control Continued),VGG16,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),Cifar10_epochs100_pretrain300,features.conv_11,,True,False,same_arch_cross_kind
VGG16,Control_Continuted,VGG16 (Control Continued),VGG16,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),Cifar10_epochs100_pretrain300,features.conv_13,,True,False,same_arch_cross_kind
VGG16,Control_Continuted,VGG16 (Control Continued),VGG16,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),Cifar10_epochs100_pretrain300,classifier.fc_2,0.09413685725750179,True,False,same_arch_cross_kind
VGG16,Control_Continuted,VGG16 (Control Continued),VGG16,Dynamic_Region_All_Combined_quant,VGG16 (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,features.conv_1,,True,False,same_arch_cross_kind
VGG16,Control_Continuted,VGG16 (Control Continued),VGG16,Dynamic_Region_All_Combined_quant,VGG16 (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,features.conv_3,,True,False,same_arch_cross_kind
VGG16,Control_Continuted,VGG16 (Control Continued),VGG16,Dynamic_Region_All_Combined_quant,VGG16 (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,features.conv_5,,True,False,same_arch_cross_kind
VGG16,Control_Continuted,VGG16 (Control Continued),VGG16,Dynamic_Region_All_Combined_quant,VGG16 (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,features.conv_7,,True,False,same_arch_cross_kind
VGG16,Control_Continuted,VGG16 (Control Continued),VGG16,Dynamic_Region_All_Combined_quant,VGG16 (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,features.conv_9,,True,False,same_arch_cross_kind
VGG16,Control_Continuted,VGG16 (Control Continued),VGG16,Dynamic_Region_All_Combined_quant,VGG16 (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,features.conv_11,,True,False,same_arch_cross_kind
VGG16,Control_Continuted,VGG16 (Control Continued),VGG16,Dynamic_Region_All_Combined_quant,VGG16 (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,features.conv_13,,True,False,same_arch_cross_kind
VGG16,Control_Continuted,VGG16 (Control Continued),VGG16,Dynamic_Region_All_Combined_quant,VGG16 (Pruned Finetuned Quantized),Cifar10_epochs100_pretrain300,classifier.fc_2,0.06767331891016924,True,False,same_arch_cross_kind
RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),RegNetX_400MF,Dynamic_Region_All_Combined,RegNetX_400MF (Pruned Finetuned),Cifar10_epochs100_pretrain300,stem.stem_conv,,True,False,same_arch_cross_kind
RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),RegNetX_400MF,Dynamic_Region_All_Combined,RegNetX_400MF (Pruned Finetuned),Cifar10_epochs100_pretrain300,stage2.stage2_block1.block.conv1,,True,False,same_arch_cross_kind
RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),RegNetX_400MF,Dynamic_Region_All_Combined,RegNetX_400MF (Pruned Finetuned),Cifar10_epochs100_pretrain300,stage3.stage3_block1.block.conv3,,True,False,same_arch_cross_kind
RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),RegNetX_400MF,Dynamic_Region_All_Combined,RegNetX_400MF (Pruned Finetuned),Cifar10_epochs100_pretrain300,stage3.stage3_block4.block.conv3,,True,False,same_arch_cross_kind
RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),RegNetX_400MF,Dynamic_Region_All_Combined,RegNetX_400MF (Pruned Finetuned),Cifar10_epochs100_pretrain300,stage4.stage4_block0.block.conv3,,True,False,same_arch_cross_kind
RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),RegNetX_400MF,Dynamic_Region_All_Combined,RegNetX_400MF (Pruned Finetuned),Cifar10_epochs100_pretrain300,stage4.stage4_block3.block.conv2,,True,False,same_arch_cross_kind
RegNetX_400MF,Control_Continuted,RegNetX_400MF (Control Continued),RegNetX_400MF,Dynamic_Region_All_Combined,RegNetX_400MF (Pruned Finetuned),Cifar10_epochs100_pretrain300,stage4.stage4_block6.block.conv2,,True,False,same_arch_cross_kind
