model,dataset,attack,baseline_clean_acc,baseline_robust_accuracy,baseline_attack_success_rate,baseline_relative_accuracy_drop,baseline_robustness_ratio,baseline_param_count,variant_clean_acc,variant_robust_accuracy,variant_attack_success_rate,variant_relative_accuracy_drop,variant_robustness_ratio,variant_param_count,baseline_kind,variant_kind,variant_minus_baseline_attack_success_rate,variant_minus_baseline_robust_accuracy,variant_minus_baseline_relative_accuracy_drop,variant_minus_baseline_robustness_ratio,params_reduction_percent
ConvNeXt,Cifar100_epochs100_pretrain300,APGD,0.4149,0.0324,0.9676,0.9219088937093276,0.0780911062906724,27897028.0,0.0065,0.0004,0.9996,0.9384615384615383,0.0615384615384615,2551876.0,Control_Continuted,Dynamic_Region_All_Combined,0.03200000000000003,-0.032,0.016552644752210743,-0.016552644752210896,90.85251661933307
ConvNeXt,Cifar100_epochs100_pretrain300,BIM,0.4149,0.2317,0.7683,0.4415521812484936,0.5584478187515064,27897028.0,0.010700000000000001,0.00375,0.9962500000000001,0.6210337533339464,0.3789662466660535,2551876.0,Control_Continuted,Dynamic_Region_All_Combined,0.2279500000000001,-0.22794999999999999,0.1794815720854528,-0.1794815720854529,90.85251661933307
ConvNeXt,Cifar100_epochs100_pretrain300,CW,0.4149,0.0021,0.9979,0.994938539407086,0.0050614605929139,27897028.0,0.009,0.0,1.0,1.0,0.0,2551876.0,Control_Continuted,Dynamic_Region_All_Combined,0.0020999999999999908,-0.0021,0.005061460592914013,-0.0050614605929139,90.85251661933307
ConvNeXt,Cifar100_epochs100_pretrain300,DeepFool,0.4149,0.0464,0.9536,0.8881658230899012,0.1118341769100988,27897028.0,0.012,0.0011,0.9989,0.9083333333333332,0.0916666666666666,2551876.0,Control_Continuted,Dynamic_Region_All_Combined,0.04530000000000001,-0.0453,0.020167510243431996,-0.02016751024343219,90.85251661933307
ConvNeXt,Cifar100_epochs100_pretrain300,FGSM,0.4149,0.0948,0.9052,0.7715112075198843,0.2284887924801157,27897028.0,0.0142,0.0082,0.9918,0.4225352112676056,0.5774647887323944,2551876.0,Control_Continuted,Dynamic_Region_All_Combined,0.08660000000000001,-0.0866,-0.3489759962522787,0.3489759962522787,90.85251661933307
ConvNeXt,Cifar100_epochs100_pretrain300,PGD,0.4149,0.0521,0.9479,0.8744275729091348,0.1255724270908652,27897028.0,0.0096,0.0017,0.9983,0.8229166666666666,0.1770833333333333,2551876.0,Control_Continuted,Dynamic_Region_All_Combined,0.0504,-0.0504,-0.051510906242468124,0.051510906242468096,90.85251661933307
ConvNeXt,Cifar10_epochs100_pretrain300,APGD,0.7568,0.1417,0.8583000000000001,0.8127642706131077,0.1872357293868921,27827818.0,0.0896,0.0156,0.9844,0.8258928571428571,0.1741071428571428,2482666.0,Control_Continuted,Dynamic_Region_All_Combined,0.1261,-0.1261,0.013128586529749353,-0.013128586529749298,91.07847406505246
ConvNeXt,Cifar10_epochs100_pretrain300,BIM,0.7568,0.5734,0.4266,0.2423361522198731,0.7576638477801269,27827818.0,0.06275,0.02475,0.97525,0.6059309118618238,0.3940690881381762,2482666.0,Control_Continuted,Dynamic_Region_All_Combined,0.54865,-0.54865,0.3635947596419507,-0.36359475964195065,91.07847406505246
ConvNeXt,Cifar10_epochs100_pretrain300,CW,0.7568,0.0052,0.9948,0.9931289640591966,0.0068710359408033,27827818.0,0.0889,0.0106,0.9894,0.8807649043869517,0.1192350956130483,2482666.0,Control_Continuted,Dynamic_Region_All_Combined,-0.005400000000000071,0.0054,-0.11236405967224494,0.11236405967224501,91.07847406505246
ConvNeXt,Cifar10_epochs100_pretrain300,FGSM,0.7568,0.3078,0.6921999999999999,0.5932875264270613,0.4067124735729387,27827818.0,0.1013,0.0834,0.9166,0.1767028627838104,0.8232971372161896,2482666.0,Control_Continuted,Dynamic_Region_All_Combined,0.22440000000000004,-0.22440000000000002,-0.41658466364325086,0.41658466364325086,91.07847406505246
