model,dataset,baseline_kind,variant_kind,baseline_clean_acc,variant_clean_acc,baseline_param_count,variant_param_count,params_reduction_percent,mean_baseline_attack_success_rate,mean_variant_attack_success_rate,mean_delta_attack_success_rate,mean_delta_robust_accuracy,mean_delta_relative_accuracy_drop,mean_delta_robustness_ratio
ConvNeXt,Cifar100_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined,0.4149,0.010333333333333333,27897028.0,2551876.0,90.85251661933307,0.9234166666666667,0.997475,0.07405833333333335,-0.07405833333333332,-0.02987061913678955,0.029870619136789484
ConvNeXt,Cifar100_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined_quant,0.4149,0.009291666666666667,27897028.0,2551876.0,90.85251661933307,0.9234166666666667,0.9971833333333334,0.07376666666666666,-0.07376666666666666,-0.1023630107886878,0.10236301078868781
ConvNeXt,Cifar10_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined,0.7568,0.08443,27827818.0,2482666.0,91.07847406505246,0.7544000000000001,0.96381,0.20941,-0.20941,-0.09470280700418386,0.09470280700418389
ConvNeXt,Cifar10_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined_quant,0.7568,0.10625,27827818.0,2482666.0,91.07847406505246,0.7544000000000001,0.9576800000000001,0.20328,-0.20328,-0.0639666125864189,0.06396661258641892
ConvNeXt,tinyimagenet_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined,0.0045,0.0038599999999999997,27973928.0,8892008.0,68.21323054810179,0.9967,0.9998799999999999,0.0031800000000000274,-0.00318,0.8459504784452995,-0.8459504784452995
ConvNeXt,tinyimagenet_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined_quant,0.0045,0.0015699999999999998,27973928.0,8892008.0,68.21323054810179,0.9967,0.99985,0.0031500000000000083,-0.00315,0.31825396825396834,-0.31825396825396823
InceptionNet,Cifar100_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined,0.5658,0.5740500000000001,6083332.0,3901476.0,35.8661338884677,0.8896000000000001,0.8762833333333333,-0.013316666666666643,0.013316666666666664,-0.02038360202928548,0.020383602029285477
InceptionNet,Cifar100_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined_quant,0.5658,0.5737666666666666,6083332.0,3901476.0,35.8661338884677,0.8896000000000001,0.8742333333333333,-0.015366666666666676,0.015366666666666667,-0.02406618648877522,0.024066186488775246
InceptionNet,Cifar10_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined,0.8596,0.8633,5991082.0,3809226.0,36.41839654339567,0.6937599999999999,0.69072,-0.0030400000000000206,0.0030400000000000123,-0.0019944894214560917,0.0019944894214561147
InceptionNet,Cifar10_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined_quant,0.8596,0.8619999999999999,5991082.0,3809226.0,36.41839654339567,0.6937599999999999,0.68218,-0.01157999999999999,0.011579999999999993,-0.012441971067317708,0.012441971067317741
InceptionNet,tinyimagenet_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined,0.005,0.0041,6185832.0,4431352.0,28.362878267628343,0.99666,0.9949,-0.001760000000000006,0.0017599999999999998,-0.5759024390243902,0.5759024390243901
InceptionNet,tinyimagenet_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined_quant,0.005,0.0042,6185832.0,4431352.0,28.362878267628343,0.99666,0.99724,0.0005800000000000249,-0.00058,0.01085714285714282,-0.01085714285714286
RegNetX_400MF,Cifar100_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined,0.3577000000000001,0.3991,4811012.0,4032260.0,16.18686463471719,0.9502666666666667,0.9437166666666666,-0.00655,0.00655,-0.0019892045332357833,0.001989204533235848
RegNetX_400MF,Cifar100_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined_quant,0.3577000000000001,0.3600666666666667,4811012.0,4032260.0,16.18686463471719,0.9502666666666667,0.9451,-0.005166666666666671,0.005166666666666664,-0.013429496053834486,0.013429496053834464
RegNetX_400MF,Cifar10_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined,0.7411,0.7868,4776362.0,3997610.0,16.30429184387615,0.79825,0.7836166666666666,-0.014633333333333323,0.01463333333333333,-0.0027864780573795176,0.0027864780573795592
RegNetX_400MF,Cifar10_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined_quant,0.7411,0.7797,4776362.0,3997610.0,16.30429184387615,0.79825,0.7872499999999999,-0.010999999999999982,0.011000000000000005,-0.0006308887092414764,0.0006308887092415135
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined,0.0038,0.0037,4849512.0,3624552.0,25.25944878577473,0.99925,0.9989250000000001,-0.00032499999999999196,0.000325,-0.09317211948790896,0.09317211948790895
RegNetX_400MF,tinyimagenet_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined_quant,0.0038,0.0039,4849512.0,3624552.0,25.25944878577473,0.99925,0.999475,0.00022500000000003073,-0.00022500000000000002,0.06275303643724695,-0.062753036437247
VGG16,Cifar100_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined,0.6087,0.6785,34031780.0,22623396.0,33.522736689059464,0.9155166666666666,0.8978999999999999,-0.01761666666666667,0.017616666666666666,-0.011685941549166504,0.011685941549166518
VGG16,Cifar100_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined_quant,0.6087,0.6944,34031780.0,22623396.0,33.522736689059464,0.9155166666666666,0.8760499999999999,-0.03946666666666667,0.03946666666666667,-0.03970636772305919,0.039706367723059154
VGG16,Cifar10_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined,0.9282,0.9167,33663050.0,21893450.0,34.96296384314552,0.6185125,0.687275,0.06876250000000002,-0.0687625,0.06985495085834212,-0.06985495085834217
VGG16,Cifar10_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined_quant,0.9282,0.9145,33663050.0,21893450.0,34.96296384314552,0.6185125,0.6534375,0.034925000000000025,-0.034924999999999984,0.03203317643665951,-0.03203317643665953
XceptionNet,Cifar100_epochs100_pretrain300,Control_Continuted,Dynamic_Region_All_Combined,0.5976833333333333,0.601,21011852.0,13481196.0,35.840039231192,0.8636166666666667,0.8742666666666666,0.010649999999999993,-0.010650000000000001,0.01897657002492324,-0.018976570024923232
