model,dataset,kind,model_label,param_count,flops,latency_ms,throughput_imgs_s,peak_memory_mb,robust_accuracy,attack_success_rate,transfer_success_rate,transfer_resistance,explainability_delta_asr,robustness_per_flop,transfer_resistance_per_latency
VGG16,Cifar10,Finetuned,VGG16 (Finetuned),21893450,,8.83094925666228,28988.956063456877,1467.34326171875,0.33936666666666665,0.6606333333333333,,,0.0878666666666667,,
VGG16,Cifar10,Original,VGG16 (Original),33663050,,13.64794640103355,18757.40074569851,1467.34326171875,0.42723333333333335,0.5727666666666666,,,0.0878666666666667,,
VGG16,Cifar100,Finetuned,VGG16 (Finetuned),22623396,,9.862587042152882,25956.678395420106,1467.43115234375,0.11852499999999999,0.881475,,,-0.037325,,
VGG16,Cifar100,Original,VGG16 (Original),34031780,,12.71455279784277,20134.40850577415,1467.43115234375,0.08120000000000001,0.9188000000000001,,,-0.037325,,
RegNetX_400MF,Cifar10,Finetuned,RegNetX_400MF (Finetuned),3997610,,10.562420100905001,24236.86972818527,1205.34326171875,0.21928,0.7807199999999999,,,-0.07006,,
RegNetX_400MF,Cifar10,Original,RegNetX_400MF (Original),4776362,,10.563660110346973,24234.024696539716,1205.34326171875,0.14922,0.85078,,,-0.07006,,
RegNetX_400MF,Cifar100,Finetuned,RegNetX_400MF (Finetuned),4032260,,9.477107098791748,27012.462487908135,1205.43115234375,0.06197999999999999,0.9380200000000001,,,-0.01566,,
RegNetX_400MF,Cifar100,Original,RegNetX_400MF (Original),4811012,,14.304184645880014,17896.86069759557,1205.43115234375,0.04631999999999999,0.95368,,,-0.01566,,
InceptionNet,Cifar10,Finetuned,InceptionNet (Finetuned),3809226,,9.37950355000794,27293.555424879956,1239.03076171875,0.28151666666666664,0.7184833333333334,,,-0.0170166666666666,,
InceptionNet,Cifar10,Original,InceptionNet (Original),5991082,,10.092148743569851,25366.253164184564,1239.03076171875,0.2645,0.7355,,,-0.0170166666666666,,
InceptionNet,Cifar100,Finetuned,InceptionNet (Finetuned),3901476,,8.947117906063795,28612.565821503176,1239.11865234375,0.13498000000000002,0.86502,,,-0.02758,,
InceptionNet,Cifar100,Original,InceptionNet (Original),6083332,,10.114933596923947,25309.113257832178,1239.11865234375,0.10740000000000001,0.8926000000000001,,,-0.02758,,
MobileNet,Cifar10,Original,MobileNet (Original),3217226,,5.237667600158602,48876.71756646948,1229.34326171875,0.18023333333333333,0.8197666666666666,,,,,
MobileNet,Cifar100,Original,MobileNet (Original),3309476,,5.520523258019239,46372.415808253056,1229.43115234375,0.058499999999999996,0.9415,,,,,
XceptionNet,Cifar10,Finetuned,XceptionNet (Finetuned),11193490,,20.381398499011993,12560.472727737982,1301.34521484375,0.2982833333333333,0.7017166666666667,,,-0.0410666666666667,,
XceptionNet,Cifar10,Original,XceptionNet (Original),20827442,,27.625312097370625,9266.863632080596,1301.34521484375,0.25721666666666665,0.7427833333333332,,,-0.0410666666666667,,
XceptionNet,Cifar100,Finetuned,XceptionNet (Finetuned),13481196,,27.41880880203098,9336.656521016968,1301.43310546875,0.13672,0.8632799999999999,,,-0.0176599999999999,,
XceptionNet,Cifar100,Original,XceptionNet (Original),21011852,,27.410134708043188,9339.611159403743,1301.43310546875,0.11906000000000001,0.8809400000000001,,,-0.0176599999999999,,
ConvNeXt,Cifar10,Finetuned,ConvNeXt (Finetuned),2482666,,4.7055482980795205,54403.86194834755,1241.34326171875,0.039028571428571426,0.9609714285714287,,,0.1794916666666667,,
ConvNeXt,Cifar10,Original,ConvNeXt (Original),27827818,,7.5921701034531,33718.94945867521,1241.34326171875,0.21643333333333334,0.7835666666666666,,,0.1794916666666667,,
ConvNeXt,Cifar100,Finetuned,ConvNeXt (Finetuned),2551876,,4.789109691046178,53454.61192476402,1241.43115234375,0.0035199999999999997,0.9964799999999998,,,0.0913624999999999,,
ConvNeXt,Cifar100,Original,ConvNeXt (Original),27897028,,7.569293957203627,33820.85587472359,1241.43115234375,0.094975,0.905025,,,0.0913624999999999,,
