source_model,source_kind,source_label,target_model,target_kind,target_label,dataset,gradient_similarity,same_architecture,same_kind,pair_type
VGG16,Finetuned,VGG16 (Finetuned),VGG16,Finetuned,VGG16 (Finetuned),Cifar10,0.3571115806698799,True,True,self_same_kind
VGG16,Finetuned,VGG16 (Finetuned),VGG16,Original,VGG16 (Original),Cifar10,0.07208484783768654,True,False,same_arch_cross_kind
VGG16,Finetuned,VGG16 (Finetuned),RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),Cifar10,0.010519724804908037,False,True,cross_arch_same_kind
VGG16,Finetuned,VGG16 (Finetuned),RegNetX_400MF,Original,RegNetX_400MF (Original),Cifar10,0.0039297747425735,False,False,cross_arch_cross_kind
VGG16,Finetuned,VGG16 (Finetuned),InceptionNet,Finetuned,InceptionNet (Finetuned),Cifar10,0.016469455789774656,False,True,cross_arch_same_kind
VGG16,Finetuned,VGG16 (Finetuned),InceptionNet,Original,InceptionNet (Original),Cifar10,0.015993055421859026,False,False,cross_arch_cross_kind
VGG16,Finetuned,VGG16 (Finetuned),MobileNet,Original,MobileNet (Original),Cifar10,0.006365119596011937,False,False,cross_arch_cross_kind
VGG16,Finetuned,VGG16 (Finetuned),XceptionNet,Finetuned,XceptionNet (Finetuned),Cifar10,0.016990868840366602,False,True,cross_arch_same_kind
VGG16,Finetuned,VGG16 (Finetuned),XceptionNet,Original,XceptionNet (Original),Cifar10,0.017669332679361105,False,False,cross_arch_cross_kind
VGG16,Finetuned,VGG16 (Finetuned),ConvNeXt,Finetuned,ConvNeXt (Finetuned),Cifar10,-0.00020667312492150813,False,True,cross_arch_same_kind
VGG16,Finetuned,VGG16 (Finetuned),ConvNeXt,Original,ConvNeXt (Original),Cifar10,0.004044545581564307,False,False,cross_arch_cross_kind
VGG16,Original,VGG16 (Original),VGG16,Finetuned,VGG16 (Finetuned),Cifar10,0.07208485063165426,True,False,same_arch_cross_kind
VGG16,Original,VGG16 (Original),VGG16,Original,VGG16 (Original),Cifar10,0.4276930019259453,True,True,self_same_kind
VGG16,Original,VGG16 (Original),RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),Cifar10,0.019667623564600945,False,False,cross_arch_cross_kind
VGG16,Original,VGG16 (Original),RegNetX_400MF,Original,RegNetX_400MF (Original),Cifar10,0.007871782290749252,False,True,cross_arch_same_kind
VGG16,Original,VGG16 (Original),InceptionNet,Finetuned,InceptionNet (Finetuned),Cifar10,0.029246557503938675,False,False,cross_arch_cross_kind
VGG16,Original,VGG16 (Original),InceptionNet,Original,InceptionNet (Original),Cifar10,0.030767905991524458,False,True,cross_arch_same_kind
VGG16,Original,VGG16 (Original),MobileNet,Original,MobileNet (Original),Cifar10,0.010965543100610375,False,True,cross_arch_same_kind
VGG16,Original,VGG16 (Original),XceptionNet,Finetuned,XceptionNet (Finetuned),Cifar10,0.03284833487123251,False,False,cross_arch_cross_kind
VGG16,Original,VGG16 (Original),XceptionNet,Original,XceptionNet (Original),Cifar10,0.0346858287230134,False,True,cross_arch_same_kind
VGG16,Original,VGG16 (Original),ConvNeXt,Finetuned,ConvNeXt (Finetuned),Cifar10,-0.0007364155098912306,False,False,cross_arch_cross_kind
VGG16,Original,VGG16 (Original),ConvNeXt,Original,ConvNeXt (Original),Cifar10,0.00861677119974047,False,True,cross_arch_same_kind
RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),VGG16,Finetuned,VGG16 (Finetuned),Cifar10,0.010519724804908037,False,True,cross_arch_same_kind
