model,dataset,attack,baseline_kind,variant_kind,n_baseline,n_variant,mean_asr_baseline,std_asr_baseline,mean_asr_variant,std_asr_variant,delta_asr,t_statistic,p_value_ttest,p_value_kruskal,significant_at_0.05,effect_size_abs
ConvNeXt,Cifar100_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9676,,0.9996,,0.03200000000000003,,,,False,0.03200000000000003
ConvNeXt,Cifar100_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9676,,0.9973,,0.02969999999999995,,,,False,0.02969999999999995
ConvNeXt,Cifar100_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined,2,2,0.7683,0.0,0.9962500000000001,0.0006363961030679012,0.2279500000000001,506.55555555554895,0.0012567603659441847,,True,0.2279500000000001
ConvNeXt,Cifar100_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined_quant,2,2,0.7683,0.0,0.9963,0.00028284271247466634,0.22799999999999998,1139.9999999998092,0.0005584382535804231,,True,0.22799999999999998
ConvNeXt,Cifar100_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9979,,1.0,,0.0020999999999999908,,,,False,0.0020999999999999908
ConvNeXt,Cifar100_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9979,,1.0,,0.0020999999999999908,,,,False,0.0020999999999999908
ConvNeXt,Cifar100_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9536,,0.9989,,0.04530000000000001,,,,False,0.04530000000000001
ConvNeXt,Cifar100_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9536,,0.9992,,0.045599999999999974,,,,False,0.045599999999999974
ConvNeXt,Cifar100_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9052,,0.9918,,0.08660000000000001,,,,False,0.08660000000000001
ConvNeXt,Cifar100_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9052,,0.9925,,0.08730000000000004,,,,False,0.08730000000000004
ConvNeXt,Cifar100_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9479,,0.9983,,0.0504,,,,False,0.0504
ConvNeXt,Cifar100_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9479,,0.9978,,0.049900000000000055,,,,False,0.049900000000000055
ConvNeXt,Cifar10_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.8583000000000001,,0.9844,,0.1261,,,,False,0.1261
ConvNeXt,Cifar10_epochs100_pretrain300,APGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.8583000000000001,,0.9885,,0.13019999999999998,,,,False,0.13019999999999998
ConvNeXt,Cifar10_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined,2,2,0.4266,0.0,0.97525,0.0030405591591022123,0.54865,255.18604651162312,0.0024947152181528246,,True,0.54865
ConvNeXt,Cifar10_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined_quant,2,2,0.4266,0.0,0.9503,0.011455129855222065,0.5237,64.65432098765436,0.009845730416816465,,True,0.5237
ConvNeXt,Cifar10_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.9948,,0.9894,,-0.005400000000000071,,,,False,0.005400000000000071
ConvNeXt,Cifar10_epochs100_pretrain300,CW,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9948,,0.9899,,-0.0049000000000000155,,,,False,0.0049000000000000155
ConvNeXt,Cifar10_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.6921999999999999,,0.9166,,0.22440000000000004,,,,False,0.22440000000000004
ConvNeXt,Cifar10_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.6921999999999999,,0.9041,,0.2119000000000001,,,,False,0.2119000000000001
ConvNeXt,Cifar10_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.8001,,0.9534,,0.1533,,,,False,0.1533
