model,dataset,kind,attack,model_label,param_count,latency_ms,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
ConvNeXt,Cifar100_epochs100_pretrain300,Control_Continuted,APGD,ConvNeXt (Control Continued),27897028,61.73673782031983,0.4149,0.0324,0.0324,0.5851,0.9676,0.9676,0.3825,0.9219088937093276,0.0780911062906724
ConvNeXt,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,APGD,ConvNeXt (Pruned Finetuned),2551876,20.073019224219024,0.0065,0.0004,0.0004,0.9935,0.9996,0.9996,0.0060999999999999,0.9384615384615383,0.0615384615384615
ConvNeXt,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,APGD,ConvNeXt (Pruned Finetuned Quantized),2551876,33.46737546380609,0.0102,0.0027,0.0027,0.9898,0.9973,0.9973,0.0075,0.7352941176470589,0.2647058823529412
ConvNeXt,Cifar100_epochs100_pretrain300,Control_Continuted,BIM,ConvNeXt (Control Continued),27897028,50.14827494742349,0.4149,0.2317,0.2317,0.5851,0.7683,0.7683,0.1832,0.4415521812484936,0.5584478187515064
ConvNeXt,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,ConvNeXt (Pruned Finetuned),2551876,29.747777909506112,0.0131,0.0033,0.0033,0.9869,0.9967,0.9967,0.0098,0.748091603053435,0.2519083969465648
ConvNeXt,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,ConvNeXt (Pruned Finetuned Quantized),2551876,32.01080597937107,0.0094,0.0039,0.0039,0.9906,0.9961,0.9961,0.0055,0.5851063829787234,0.4148936170212766
ConvNeXt,Cifar100_epochs100_pretrain300,Control_Continuted,CW,ConvNeXt (Control Continued),27897028,59.35771851800382,0.4149,0.0021,0.0021,0.5851,0.9979,0.9979,0.4128,0.994938539407086,0.0050614605929139
ConvNeXt,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,CW,ConvNeXt (Pruned Finetuned),2551876,30.649917980190367,0.009,0.0,0.0,0.991,1.0,1.0,0.009,1.0,0.0
ConvNeXt,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,CW,ConvNeXt (Pruned Finetuned Quantized),2551876,29.51770934741944,0.0089,0.0,0.0,0.9911,1.0,1.0,0.0089,1.0,0.0
ConvNeXt,Cifar100_epochs100_pretrain300,Control_Continuted,DeepFool,ConvNeXt (Control Continued),27897028,64.34484747005627,0.4149,0.0464,0.0464,0.5851,0.9536,0.9536,0.3685,0.8881658230899012,0.1118341769100988
ConvNeXt,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,DeepFool,ConvNeXt (Pruned Finetuned),2551876,32.442839548457414,0.012,0.0011,0.0011,0.988,0.9989,0.9989,0.0109,0.9083333333333332,0.0916666666666666
ConvNeXt,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,DeepFool,ConvNeXt (Pruned Finetuned Quantized),2551876,31.792580941691995,0.0084,0.0008,0.0008,0.9916,0.9992,0.9992,0.0075999999999999,0.9047619047619048,0.0952380952380952
ConvNeXt,Cifar100_epochs100_pretrain300,Control_Continuted,FGSM,ConvNeXt (Control Continued),27897028,56.31072067189962,0.4149,0.0948,0.0948,0.5851,0.9052,0.9052,0.3201,0.7715112075198843,0.2284887924801157
ConvNeXt,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,FGSM,ConvNeXt (Pruned Finetuned),2551876,22.84454784821719,0.0142,0.0082,0.0082,0.9858,0.9918,0.9918,0.006,0.4225352112676056,0.5774647887323944
ConvNeXt,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,FGSM,ConvNeXt (Pruned Finetuned Quantized),2551876,25.78445199178532,0.0109,0.0075,0.0075,0.9891,0.9925,0.9925,0.0034,0.3119266055045872,0.6880733944954128
ConvNeXt,Cifar100_epochs100_pretrain300,Control_Continuted,BIM,ConvNeXt (Control Continued),27897028,18.343875859864056,0.4149,0.2317,0.2317,0.5851,0.7683,0.7683,0.1832,0.4415521812484936,0.5584478187515064
ConvNeXt,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,ConvNeXt (Pruned Finetuned),2551876,30.87800405919552,0.0083,0.0042,0.0042,0.9917,0.9958,0.9958,0.0041,0.4939759036144578,0.5060240963855421
ConvNeXt,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,ConvNeXt (Pruned Finetuned Quantized),2551876,32.87021471187472,0.0087,0.0035,0.0035,0.9913,0.9965,0.9965,0.0052,0.5977011494252874,0.4022988505747127
ConvNeXt,Cifar100_epochs100_pretrain300,Control_Continuted,PGD,ConvNeXt (Control Continued),27897028,23.21702648187056,0.4149,0.0521,0.0521,0.5851,0.9479,0.9479,0.3628,0.8744275729091348,0.1255724270908652
ConvNeXt,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined,PGD,ConvNeXt (Pruned Finetuned),2551876,21.106664545368403,0.0096,0.0017,0.0017,0.9904,0.9983,0.9983,0.0078999999999999,0.8229166666666666,0.1770833333333333
ConvNeXt,Cifar100_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,PGD,ConvNeXt (Pruned Finetuned Quantized),2551876,29.559670470189303,0.0083,0.0022,0.0022,0.9917,0.9978,0.9978,0.0060999999999999,0.7349397590361445,0.2650602409638554
ConvNeXt,Cifar10_epochs100_pretrain300,Control_Continuted,APGD,ConvNeXt (Control Continued),27827818,25.150492694228888,0.7568,0.1417,0.1417,0.2431999999999999,0.8583000000000001,0.8583000000000001,0.6151,0.8127642706131077,0.1872357293868921
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,APGD,ConvNeXt (Pruned Finetuned),2482666,25.40357344551012,0.0896,0.0156,0.0156,0.9104,0.9844,0.9844,0.074,0.8258928571428571,0.1741071428571428
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,APGD,ConvNeXt (Pruned Finetuned Quantized),2482666,41.89061470096931,0.1011,0.0115,0.0115,0.8989,0.9885,0.9885,0.0896,0.8862512363996043,0.1137487636003956
ConvNeXt,Cifar10_epochs100_pretrain300,Control_Continuted,BIM,ConvNeXt (Control Continued),27827818,25.29826380778104,0.7568,0.5734,0.5734,0.2431999999999999,0.4266,0.4266,0.1834,0.2423361522198731,0.7576638477801269
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,ConvNeXt (Pruned Finetuned),2482666,29.72049815580249,0.062,0.0226,0.0226,0.938,0.9774,0.9774,0.0394,0.6354838709677421,0.364516129032258
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,ConvNeXt (Pruned Finetuned Quantized),2482666,18.781068094540387,0.109,0.0578,0.0578,0.891,0.9422,0.9422,0.0512,0.4697247706422018,0.5302752293577981
ConvNeXt,Cifar10_epochs100_pretrain300,Control_Continuted,CW,ConvNeXt (Control Continued),27827818,30.79910856904462,0.7568,0.0052,0.0052,0.2431999999999999,0.9948,0.9948,0.7516,0.9931289640591966,0.0068710359408033
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,CW,ConvNeXt (Pruned Finetuned),2482666,16.48436253890395,0.0889,0.0106,0.0106,0.9111,0.9894,0.9894,0.0783,0.8807649043869517,0.1192350956130483
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,CW,ConvNeXt (Pruned Finetuned Quantized),2482666,12.50300626270473,0.0976,0.0101,0.0101,0.9024,0.9899,0.9899,0.0875,0.896516393442623,0.103483606557377
ConvNeXt,Cifar10_epochs100_pretrain300,Control_Continuted,FGSM,ConvNeXt (Control Continued),27827818,23.233115614857525,0.7568,0.3078,0.3078,0.2431999999999999,0.6921999999999999,0.6921999999999999,0.449,0.5932875264270613,0.4067124735729387
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,FGSM,ConvNeXt (Pruned Finetuned),2482666,34.39858619822189,0.1013,0.0834,0.0834,0.8987,0.9166,0.9166,0.0179,0.1767028627838104,0.8232971372161896
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,FGSM,ConvNeXt (Pruned Finetuned Quantized),2482666,41.69609082164243,0.1086,0.0959,0.0959,0.8914,0.9041,0.9041,0.0127,0.1169429097605893,0.8830570902394107
ConvNeXt,Cifar10_epochs100_pretrain300,Control_Continuted,BIM,ConvNeXt (Control Continued),27827818,26.90557825844735,0.7568,0.5734,0.5734,0.2431999999999999,0.4266,0.4266,0.1834,0.2423361522198731,0.7576638477801269
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,ConvNeXt (Pruned Finetuned),2482666,35.878027870785445,0.0635,0.0269,0.0269,0.9365,0.9731,0.9731,0.0366,0.5763779527559055,0.4236220472440944
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,ConvNeXt (Pruned Finetuned Quantized),2482666,22.01638793339953,0.1107,0.0416,0.0416,0.8893,0.9584,0.9584,0.0691,0.6242095754290876,0.3757904245709123
ConvNeXt,Cifar10_epochs100_pretrain300,Control_Continuted,PGD,ConvNeXt (Control Continued),27827818,78.73502917354926,0.7568,0.1999,0.1999,0.2431999999999999,0.8001,0.8001,0.5569000000000001,0.7358615221987316,0.2641384778012685
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,PGD,ConvNeXt (Pruned Finetuned),2482666,23.97392278071493,0.0796,0.0466,0.0466,0.9204,0.9534,0.9534,0.033,0.414572864321608,0.585427135678392
ConvNeXt,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,PGD,ConvNeXt (Pruned Finetuned Quantized),2482666,21.19671821128577,0.1141,0.0444,0.0444,0.8859,0.9556,0.9556,0.0696999999999999,0.6108676599474144,0.3891323400525855
ConvNeXt,tinyimagenet_epochs100_pretrain300,Control_Continuted,APGD,ConvNeXt (Control Continued),27973928,71.80689973756671,0.0045,0.0001,0.0001,0.9955,0.9999,0.9999,0.0043999999999999,0.9777777777777776,0.0222222222222222
ConvNeXt,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined,APGD,ConvNeXt (Pruned Finetuned),8892008,59.26838559098542,0.0009,0.0,0.0,0.9991,1.0,1.0,0.0009,1.0,0.0
ConvNeXt,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,APGD,ConvNeXt (Pruned Finetuned Quantized),8892008,78.98390796035528,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,
ConvNeXt,tinyimagenet_epochs100_pretrain300,Control_Continuted,BIM,ConvNeXt (Control Continued),27973928,63.859862356912345,0.0045,0.0017,0.0017,0.9955,0.9983,0.9983,0.0027999999999999,0.6222222222222221,0.3777777777777777
ConvNeXt,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined,BIM,ConvNeXt (Pruned Finetuned),8892008,69.1643018857576,0.0124,0.0008,0.0008,0.9876,0.9992,0.9992,0.0116,0.935483870967742,0.064516129032258
ConvNeXt,tinyimagenet_epochs100_pretrain300,Dynamic_Region_All_Combined_quant,BIM,ConvNeXt (Pruned Finetuned Quantized),8892008,73.9681383012794,0.0031,0.0,0.0,0.9969,1.0,1.0,0.0031,1.0,0.0
ConvNeXt,tinyimagenet_epochs100_pretrain300,Control_Continuted,DeepFool,ConvNeXt (Control Continued),27973928,99.21382470056416,0.0045,0.0007,0.0007,0.9955,0.9993,0.9993,0.0037999999999999,0.8444444444444444,0.1555555555555555
