source_model,source_kind,source_label,source_attack,target_model,target_kind,target_label,dataset,transfer_acc,transfer_success_rate,conditioned_transfer_success_rate,source_attack_success_rate,normalized_transfer_rate,normalized_conditioned_transfer_rate,same_architecture,same_kind,pair_type
VGG16,Finetuned,VGG16 (Finetuned),PGD,VGG16,Finetuned,VGG16 (Finetuned),Cifar10_epochs3_pretrain3,0.1918,0.8082,1.0,0.8088,0.9992581602373888,1.2363996043521266,True,True,self_same_kind
VGG16,Finetuned,VGG16 (Finetuned),PGD,VGG16,Original,VGG16 (Original),Cifar10_epochs3_pretrain3,0.226,0.774,0.8311065435409546,0.8088,0.9569732937685461,1.0275798016084998,True,False,same_arch_cross_kind
VGG16,Finetuned,VGG16 (Finetuned),PGD,RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),Cifar10_epochs3_pretrain3,0.1801,0.8199,0.8730729669332504,0.8088,1.0137240356083086,1.0794670708868082,False,True,cross_arch_same_kind
VGG16,Finetuned,VGG16 (Finetuned),PGD,RegNetX_400MF,Original,RegNetX_400MF (Original),Cifar10_epochs3_pretrain3,0.1865,0.8135,0.8615964353084564,0.8088,1.005811078140455,1.0652774917265782,False,False,cross_arch_cross_kind
VGG16,Finetuned,VGG16 (Finetuned),PGD,InceptionNet,Finetuned,InceptionNet (Finetuned),Cifar10_epochs3_pretrain3,0.3223,0.6777,0.754367932677269,0.8088,0.8379080118694362,0.9327002134981071,False,True,cross_arch_same_kind
VGG16,Finetuned,VGG16 (Finetuned),PGD,InceptionNet,Original,InceptionNet (Original),Cifar10_epochs3_pretrain3,0.2732,0.7268,0.8088386505842209,0.8088,0.8986152324431257,1.0000477875670388,False,False,cross_arch_cross_kind
VGG16,Finetuned,VGG16 (Finetuned),PGD,MobileNet,Original,MobileNet (Original),Cifar10_epochs3_pretrain3,0.1701,0.8299,0.8908872902393341,0.8088,1.02608803165183,1.101492693174251,False,False,cross_arch_cross_kind
VGG16,Finetuned,VGG16 (Finetuned),PGD,XceptionNet,Finetuned,XceptionNet (Finetuned),Cifar10_epochs3_pretrain3,0.2962,0.7038,0.7872559130191803,0.8088,0.8701780415430267,0.9733628993807868,False,True,cross_arch_same_kind
VGG16,Finetuned,VGG16 (Finetuned),PGD,XceptionNet,Original,XceptionNet (Original),Cifar10_epochs3_pretrain3,0.3059,0.6940999999999999,0.7697841674089432,0.8088,0.858184965380811,0.9517608400209486,False,False,cross_arch_cross_kind
VGG16,Finetuned,VGG16 (Finetuned),PGD,ConvNeXt,Finetuned,ConvNeXt (Finetuned),Cifar10_epochs3_pretrain3,0.1304,0.8696,0.9330250099301338,0.8088,1.0751730959446093,1.1535917531282565,False,True,cross_arch_same_kind
VGG16,Finetuned,VGG16 (Finetuned),PGD,ConvNeXt,Original,ConvNeXt (Original),Cifar10_epochs3_pretrain3,0.2361,0.7639,0.8268242478370667,0.8088,0.9444856577645896,1.022285172894494,False,False,cross_arch_cross_kind
VGG16,Finetuned,VGG16 (Finetuned),FGSM,VGG16,Finetuned,VGG16 (Finetuned),Cifar10_epochs3_pretrain3,0.2756,0.7243999999999999,1.0,0.7241,1.0004143074161027,1.3810247203424941,True,True,self_same_kind
VGG16,Finetuned,VGG16 (Finetuned),FGSM,VGG16,Original,VGG16 (Original),Cifar10_epochs3_pretrain3,0.23,0.77,0.8570870012044907,0.7241,1.0633890346637205,1.1836583361476187,True,False,same_arch_cross_kind
VGG16,Finetuned,VGG16 (Finetuned),FGSM,RegNetX_400MF,Finetuned,RegNetX_400MF (Finetuned),Cifar10_epochs3_pretrain3,0.18,0.8200000000000001,0.8944281488656998,0.7241,1.1324402706808454,1.2352273841537078,False,True,cross_arch_same_kind
VGG16,Finetuned,VGG16 (Finetuned),FGSM,RegNetX_400MF,Original,RegNetX_400MF (Original),Cifar10_epochs3_pretrain3,0.1839,0.8161,0.8895405679941177,0.7241,1.1270542742715095,1.2284775141473798,False,False,cross_arch_cross_kind
VGG16,Finetuned,VGG16 (Finetuned),FGSM,InceptionNet,Finetuned,InceptionNet (Finetuned),Cifar10_epochs3_pretrain3,0.3235,0.6765,0.785728245973587,0.7241,0.9342632233116973,1.0851101311608715,False,True,cross_arch_same_kind
