source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9868,0.6365000000000001,0.4664,0.4936,0.6355,0.6552,0.7113,0.3641999999999999,0.4981,0.4397999999999999,0.4506
ConvNeXt (Original),0.9869,0.7839,0.4706,0.4976,0.6403,0.6615,0.7173,0.3665,0.5032,0.4458999999999999,0.4579
InceptionNet (Finetuned),0.9874,0.6396999999999999,0.6402,0.527,0.6456999999999999,0.6619999999999999,0.7147,0.3838,0.5154000000000001,0.4636,0.472
InceptionNet (Original),0.988,0.6394,0.488,0.7007,0.6427,0.6604,0.7137,0.3758,0.5142,0.4557,0.4653
MobileNet (Original),0.9871,0.6384000000000001,0.4721999999999999,0.5004,0.8160000000000001,0.6639999999999999,0.7199,0.3691,0.5076,0.4518,0.4648
RegNetX_400MF (Finetuned),0.9876,0.6407,0.469,0.4973999999999999,0.6458999999999999,0.8068,0.7365999999999999,0.3689,0.5037,0.4516,0.4636
RegNetX_400MF (Original),0.9872,0.6397999999999999,0.4695,0.4959,0.6409,0.6828000000000001,0.8482000000000001,0.3663999999999999,0.5026999999999999,0.4476,0.4570999999999999
VGG16 (Finetuned),0.9876,0.6364000000000001,0.4703,0.4989,0.6377999999999999,0.6587000000000001,0.7119,0.7274,0.5516,0.4487,0.4589
VGG16 (Original),0.9872,0.6372,0.4711999999999999,0.5,0.6391,0.6581,0.7130000000000001,0.4276,0.7954,0.4489999999999999,0.4604
XceptionNet (Finetuned),0.9875,0.6406000000000001,0.4814,0.5097,0.6463,0.6658,0.7157,0.3818,0.5178,0.6352,0.5045
XceptionNet (Original),0.9875,0.6391,0.4809,0.5082,0.6476999999999999,0.6666000000000001,0.7176,0.3836,0.5183,0.4877,0.6878
