source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9891,0.8849,0.8218,0.8394,0.8967,0.9144,0.9359,0.7769,0.8582,0.7985,0.8021
ConvNeXt (Original),0.9891,0.9522,0.8258,0.8434,0.8979,0.9175,0.9365,0.778,0.8592,0.802,0.8067
InceptionNet (Finetuned),0.9892,0.8883,0.9151,0.8633,0.902,0.9176,0.9377,0.7924,0.8672,0.8162,0.821
InceptionNet (Original),0.9892,0.8873,0.8385,0.9394,0.8998,0.916,0.9368,0.7912,0.8679,0.8109999999999999,0.8146
MobileNet (Original),0.9891,0.8867,0.8277,0.8432999999999999,0.9706,0.9202,0.9392,0.7833,0.8633,0.806,0.8145
RegNetX_400MF (Finetuned),0.9892,0.8872,0.8254,0.8422000000000001,0.9022,0.9707,0.9453,0.7819,0.8608,0.8059000000000001,0.8109999999999999
RegNetX_400MF (Original),0.9888,0.8875,0.8228,0.8408,0.9017,0.9281,0.9806,0.781,0.8573999999999999,0.8034,0.8096
VGG16 (Finetuned),0.9887,0.8849,0.8256,0.8441,0.8986,0.9164,0.9365,0.9577,0.8885,0.8049,0.8088
VGG16 (Original),0.9888,0.8848,0.8264,0.8436,0.9,0.9157,0.9365,0.8241,0.9699,0.8049,0.8096
XceptionNet (Finetuned),0.9889,0.887,0.8359,0.8522000000000001,0.9039,0.9194,0.9384,0.7954,0.8673,0.9135,0.8406
XceptionNet (Original),0.9892,0.887,0.834,0.8522000000000001,0.9043,0.9198,0.9394,0.7946,0.8671,0.8337,0.9274
