source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9896,0.8843,0.8225,0.8409,0.8955,0.9156,0.9362,0.7777000000000001,0.8571,0.7997,0.8025
ConvNeXt (Original),0.9899,0.9121,0.8261000000000001,0.8442000000000001,0.899,0.9184,0.9368,0.7819,0.8593999999999999,0.8037,0.8069999999999999
InceptionNet (Finetuned),0.9895,0.8862,0.8423,0.8531,0.8992,0.9182,0.9363,0.7931,0.8638,0.8123,0.8150999999999999
InceptionNet (Original),0.9892,0.8863,0.833,0.8648,0.8995,0.9173,0.9362,0.7919,0.8654999999999999,0.808,0.8121
MobileNet (Original),0.9892,0.8847,0.8251999999999999,0.8442000000000001,0.915,0.9192,0.9385,0.789,0.8638,0.8064,0.8126
RegNetX_400MF (Finetuned),0.9894,0.8878,0.8241,0.8419,0.9009,0.927,0.9408,0.7874,0.8607,0.8038,0.8113
RegNetX_400MF (Original),0.9895,0.8862,0.8245,0.8406,0.8986,0.9235,0.9485,0.7853,0.8576,0.8033,0.8082
VGG16 (Finetuned),0.9893,0.8853,0.8240000000000001,0.8419,0.8996999999999999,0.9168,0.9366,0.8251999999999999,0.8694999999999999,0.8002,0.8079000000000001
VGG16 (Original),0.9896,0.8857,0.827,0.8452,0.9002,0.9177,0.9363,0.8159,0.8971,0.804,0.8097
XceptionNet (Finetuned),0.9893,0.8858,0.8313,0.8479,0.9001,0.9172,0.9366,0.7896,0.8638,0.832,0.8215
XceptionNet (Original),0.9895,0.8867,0.8293,0.8479,0.9018,0.9197,0.9374,0.7944,0.8645,0.8207,0.8492999999999999
