source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9881,0.6342,0.4674,0.4851,0.6235999999999999,0.6541,0.7004,0.4401,0.4407,0.4431
ConvNeXt (Original),0.9892,0.7729,0.4735,0.4908,0.628,0.6593,0.7076,0.4427999999999999,0.4478999999999999,0.4525
InceptionNet (Finetuned),0.9881,0.6394,0.6386000000000001,0.5145,0.6336999999999999,0.6614,0.7049000000000001,0.4610999999999999,0.4618,0.4675
InceptionNet (Original),0.9886,0.6386000000000001,0.4929,0.6795,0.6308,0.6579999999999999,0.7062999999999999,0.4580999999999999,0.4558999999999999,0.4608
MobileNet (Original),0.9886,0.6377999999999999,0.4757,0.4919,0.7871,0.6635,0.7093,0.4519999999999999,0.4559999999999999,0.4587
RegNetX_400MF (Finetuned),0.9886,0.6391,0.474,0.4888,0.6335,0.7965,0.7267,0.4468,0.4519999999999999,0.4590999999999999
RegNetX_400MF (Original),0.9888,0.64,0.4719,0.4891999999999999,0.6335999999999999,0.6816,0.8261000000000001,0.4418999999999999,0.4483,0.4543
VGG16 (Original),0.9885,0.6362,0.4730999999999999,0.4921999999999999,0.6269,0.6554,0.7024,0.7379,0.4494,0.4538999999999999
XceptionNet (Finetuned),0.9886,0.6383,0.4845,0.4986,0.6339,0.6631,0.7073,0.4592,0.6521,0.495
XceptionNet (Original),0.9886,0.6387,0.4858,0.502,0.6356999999999999,0.6631,0.7081999999999999,0.4629,0.4946,0.6524
