source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9893,0.9346,0.935,0.9388,0.9728,0.9682,0.9753,0.9081,0.9637,0.9158,0.9229
ConvNeXt (Original),0.9886,0.975,0.929,0.9349,0.9704,0.9661,0.9728,0.9043,0.9618,0.911,0.9179
InceptionNet (Finetuned),0.989,0.9346,0.9788,0.9406,0.9726,0.9686,0.9754,0.9103,0.9629,0.9178,0.9244
InceptionNet (Original),0.9886,0.9326,0.9366,0.979,0.9743,0.9666,0.9761,0.9085,0.9634,0.9157,0.9249
MobileNet (Original),0.9889,0.9347,0.9354,0.9388,0.9976,0.9683,0.9762,0.908,0.9636,0.9171,0.9237
RegNetX_400MF (Finetuned),0.9888,0.9352,0.9351,0.9389,0.973,0.9978,0.9766,0.9075,0.9633,0.917,0.9238
RegNetX_400MF (Original),0.9889,0.9348,0.9352,0.9389,0.973,0.9685,0.9998,0.908,0.9634,0.9168,0.9237
VGG16 (Finetuned),0.9888,0.934,0.936,0.9381,0.9737,0.969,0.9754,0.9675,0.9633,0.9212,0.923
VGG16 (Original),0.9891,0.9288,0.9293,0.935,0.9715,0.9664,0.9743,0.904,0.988,0.9089,0.9171
XceptionNet (Finetuned),0.9888,0.9356,0.9362,0.939,0.973,0.9688,0.9759,0.9089,0.9633,0.9956,0.9269
XceptionNet (Original),0.9889,0.9344,0.9361,0.9396,0.9731,0.9694,0.9761,0.9085,0.9641,0.9211,0.995
