source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9215,0.2741,0.1532,0.1676999999999999,0.2453999999999999,0.244,0.3242,0.1027,0.1007,0.1287,0.1443999999999999
ConvNeXt (Original),0.9216,0.4539999999999999,0.1622,0.1765,0.2558,0.2552999999999999,0.3345,0.1061999999999999,0.1031999999999999,0.1364999999999999,0.1501
InceptionNet (Finetuned),0.921,0.2823,0.3201,0.1954,0.2581,0.2574999999999999,0.3324,0.1171999999999999,0.1148,0.1445999999999999,0.1601
InceptionNet (Original),0.9216,0.282,0.1812,0.3568,0.2603,0.2559,0.3304,0.1136,0.1122999999999999,0.1447,0.1583999999999999
MobileNet (Original),0.9207,0.2785999999999999,0.1594999999999999,0.1745,0.5367,0.2584999999999999,0.3416,0.1051999999999999,0.1049999999999999,0.1379,0.1543
RegNetX_400MF (Finetuned),0.9209,0.2828,0.1636999999999999,0.1762,0.2675999999999999,0.4607,0.3633999999999999,0.1102999999999999,0.1088,0.1415999999999999,0.1588
RegNetX_400MF (Original),0.9213,0.2779,0.1566999999999999,0.1706999999999999,0.2631,0.2705999999999999,0.6173,0.1058,0.1029999999999999,0.1369,0.1532
VGG16 (Finetuned),0.9201,0.2752,0.1604,0.1731,0.2502,0.2496,0.3263,0.479,0.1437,0.1379,0.1503
VGG16 (Original),0.9209,0.2759,0.1654,0.1772,0.2516,0.2526,0.3264,0.1731,0.3481999999999999,0.1431,0.1583
XceptionNet (Finetuned),0.9219,0.2801,0.1699,0.1816999999999999,0.2623999999999999,0.2613999999999999,0.3381999999999999,0.1163999999999999,0.1187,0.3218,0.184
XceptionNet (Original),0.9214,0.2796999999999999,0.1662,0.1787999999999999,0.2628,0.2613,0.3399,0.1149999999999999,0.1153999999999999,0.1583999999999999,0.3891
