source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9133,0.6434,0.5306,0.5291,0.6517,0.651,0.7145,0.4876,0.4748,0.4846,0.4995
ConvNeXt (Original),0.913,0.8158,0.5466,0.5463,0.6623,0.6686000000000001,0.7257,0.496,0.4868,0.5015000000000001,0.5126999999999999
InceptionNet (Finetuned),0.9122,0.6544,0.7464999999999999,0.5800000000000001,0.6671,0.6694,0.727,0.5182,0.5091,0.5177,0.5341
InceptionNet (Original),0.9117,0.6525000000000001,0.5707,0.7729,0.6664,0.6665,0.7259,0.5147999999999999,0.5042,0.5147999999999999,0.531
MobileNet (Original),0.9118,0.6481,0.542,0.5428,0.8909,0.6727000000000001,0.7385999999999999,0.4973999999999999,0.4861,0.5025999999999999,0.5191
RegNetX_400MF (Finetuned),0.9125,0.6533,0.5447,0.5465,0.6792,0.8492999999999999,0.7596,0.5086999999999999,0.4962999999999999,0.5104,0.5299
RegNetX_400MF (Original),0.9117,0.6489,0.538,0.5385,0.6708000000000001,0.6859,0.9174,0.4945,0.4827,0.4967,0.5186
VGG16 (Finetuned),0.9117,0.6447,0.5406,0.5421,0.6561,0.6598999999999999,0.7197,0.8964,0.5586,0.5013000000000001,0.5157
VGG16 (Original),0.9119,0.6465000000000001,0.5472,0.5483,0.6577,0.6643,0.7206,0.6104,0.8157,0.5129,0.5278
XceptionNet (Finetuned),0.9119,0.6517999999999999,0.5574,0.5570999999999999,0.6726,0.6738999999999999,0.7317,0.5247999999999999,0.5183,0.7628,0.5721
XceptionNet (Original),0.9123,0.6505000000000001,0.5495,0.5516,0.6709,0.6739999999999999,0.7324999999999999,0.515,0.5087999999999999,0.5429999999999999,0.8089999999999999
