source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.8788,0.2701,0.1674,0.1641,0.2218,0.2564999999999999,0.2913,0.0957,0.1344999999999999,0.1411
ConvNeXt (Original),0.8702,0.8568,0.4629,0.4526,0.5467,0.6043000000000001,0.6353,0.3336,0.392,0.4059
InceptionNet (Finetuned),0.8748,0.5963,0.8196,0.5627,0.6018,0.6301,0.649,0.4101,0.4700999999999999,0.4811999999999999
InceptionNet (Original),0.8724000000000001,0.5985,0.569,0.8231999999999999,0.6002000000000001,0.6323,0.6503,0.4132,0.4716,0.4845
MobileNet (Original),0.8689,0.6042000000000001,0.5073,0.4978,0.9083,0.6692,0.6923,0.3811,0.4473,0.4512
RegNetX_400MF (Finetuned),0.8725,0.5988,0.4845,0.478,0.6062000000000001,0.9135,0.7402,0.365,0.4288999999999999,0.4418999999999999
RegNetX_400MF (Original),0.8709,0.5907,0.4668,0.4608,0.5861000000000001,0.6976,0.9341,0.3515,0.4104,0.421
VGG16 (Original),0.8794,0.5902000000000001,0.5264,0.5188999999999999,0.5886,0.6334,0.651,0.8629,0.4852999999999999,0.4925
XceptionNet (Finetuned),0.8746,0.5964,0.5366,0.5321,0.606,0.6447,0.6625,0.4417999999999999,0.8506,0.5443
XceptionNet (Original),0.874,0.5964,0.5333,0.5284,0.5991,0.646,0.6627000000000001,0.4382,0.5305,0.8582
