source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.8807,0.6327,0.5344,0.5307,0.6148,0.6800999999999999,0.6990000000000001,0.4483,0.4694,0.4867
ConvNeXt (Original),0.8803,0.6896,0.5498000000000001,0.544,0.6265000000000001,0.6900999999999999,0.7077,0.4577,0.4876,0.5005
InceptionNet (Finetuned),0.8793,0.6417999999999999,0.5916,0.5628,0.6291,0.6885,0.7049000000000001,0.4780999999999999,0.4982999999999999,0.5133
InceptionNet (Original),0.8789,0.642,0.5684,0.5888,0.6315,0.6889000000000001,0.7070000000000001,0.4807,0.4988,0.5135000000000001
MobileNet (Original),0.8794,0.6413,0.5502,0.5435,0.6662,0.6950000000000001,0.7130000000000001,0.4667,0.493,0.5053000000000001
RegNetX_400MF (Finetuned),0.8801,0.6429,0.5459,0.5395,0.6329,0.7181,0.7258,0.4674,0.4951,0.507
RegNetX_400MF (Original),0.8802,0.6397999999999999,0.5448,0.5379,0.6275999999999999,0.7103999999999999,0.7359,0.4617,0.4891,0.502
VGG16 (Original),0.8797,0.6343,0.5423,0.5342,0.6171,0.6819999999999999,0.7009000000000001,0.4998,0.4790999999999999,0.4938
XceptionNet (Finetuned),0.8796,0.6388,0.5513,0.5454,0.6293,0.6938,0.7067,0.4761999999999999,0.5586,0.5265
XceptionNet (Original),0.8804,0.6386000000000001,0.552,0.5470999999999999,0.6326,0.6940999999999999,0.7103999999999999,0.4778,0.5179,0.5730999999999999
