source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.876,0.6329,0.5355,0.5286,0.6138,0.6824,0.6984,0.4474,0.4696,0.486
ConvNeXt (Original),0.879,0.802,0.5521,0.5444,0.631,0.6935,0.7101,0.4579999999999999,0.4885,0.503
InceptionNet (Finetuned),0.8803,0.644,0.7464999999999999,0.5827,0.636,0.6950000000000001,0.7099,0.4749,0.5063,0.5161
InceptionNet (Original),0.8804,0.6441,0.5818,0.7474000000000001,0.6386000000000001,0.6938,0.7095,0.4767,0.5071,0.5181
MobileNet (Original),0.8794,0.6427,0.5525,0.5443,0.8447,0.7018,0.7202999999999999,0.4602,0.4966,0.5062
RegNetX_400MF (Finetuned),0.8803,0.6413,0.5477000000000001,0.5417000000000001,0.6415,0.861,0.7544,0.4606,0.4966,0.5082
RegNetX_400MF (Original),0.8802,0.6402,0.5473,0.5391,0.6389,0.7368,0.8811,0.4570999999999999,0.4931,0.505
VGG16 (Original),0.8805000000000001,0.6369,0.5488,0.5412,0.6234,0.6876,0.7051000000000001,0.793,0.4961,0.5086999999999999
XceptionNet (Finetuned),0.8808,0.641,0.5594,0.5548,0.641,0.6990000000000001,0.7159,0.4829,0.7693,0.5524
XceptionNet (Original),0.8805000000000001,0.6423,0.5584,0.5533,0.6371,0.6984,0.7137,0.4804,0.5387,0.78
