source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.8778,0.4911,0.3477,0.3783999999999999,0.6404000000000001,0.6444,0.7001999999999999,0.2639,0.4775,0.3548,0.3739
ConvNeXt (Original),0.8688,0.8809,0.5337000000000001,0.5833999999999999,0.8034,0.795,0.795,0.4633,0.6627000000000001,0.5515,0.5615
InceptionNet (Finetuned),0.8714,0.7237,0.9072,0.7296,0.8074,0.7947,0.8037,0.5609,0.7246,0.6624,0.6517999999999999
InceptionNet (Original),0.8712,0.7303,0.6786,0.9255,0.8174,0.8009,0.8027,0.5529,0.71,0.6516,0.642
MobileNet (Original),0.8684000000000001,0.6516,0.493,0.5411,0.9963,0.7775,0.7959,0.4125,0.6111,0.5073,0.5132
RegNetX_400MF (Finetuned),0.8681,0.655,0.4931999999999999,0.5406,0.7798,0.9843,0.8112,0.4142,0.6134,0.5138,0.5167999999999999
RegNetX_400MF (Original),0.87,0.6206,0.4476,0.4967,0.7605999999999999,0.7638,0.9928,0.3682999999999999,0.5904,0.4563,0.475
VGG16 (Finetuned),0.8748,0.7323,0.6489,0.6903,0.8186,0.8069,0.8071,0.8712,0.7444,0.6755,0.6708000000000001
VGG16 (Original),0.8712,0.6917,0.5818,0.6128,0.7934,0.7793,0.793,0.5202,0.9046,0.595,0.6044
XceptionNet (Finetuned),0.8739,0.7284999999999999,0.6395,0.692,0.8105,0.8021,0.8063,0.5682,0.7188,0.9327,0.7323999999999999
XceptionNet (Original),0.8681,0.7254,0.6491,0.6722,0.8052,0.7968,0.8056,0.5562,0.7255,0.7253000000000001,0.9262
