source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.8815,0.4767,0.3556,0.3861,0.6316999999999999,0.6456,0.7001,0.2677,0.4648,0.3617,0.3786
InceptionNet (Finetuned),0.8682,0.7458,0.8814,0.7361,0.8222,0.8069,0.8106,0.5731999999999999,0.7377,0.6638,0.6533
InceptionNet (Original),0.8667,0.7384,0.6703,0.8966,0.8176,0.8014,0.8057,0.5565,0.7155,0.6571,0.643
MobileNet (Original),0.8683,0.6511,0.4938,0.5416000000000001,0.9516,0.7787999999999999,0.7957,0.4105999999999999,0.6087,0.5065999999999999,0.5109
RegNetX_400MF (Finetuned),0.8666,0.6557999999999999,0.4985,0.5448999999999999,0.7811,0.9479,0.8065,0.4175999999999999,0.615,0.5179,0.5202
RegNetX_400MF (Original),0.8697,0.6221,0.4509999999999999,0.4996,0.7616,0.7589,0.9458,0.3715,0.5928,0.4600999999999999,0.4777
VGG16 (Finetuned),0.8677,0.7494000000000001,0.6696,0.7099,0.8208,0.8143,0.8104,0.8693,0.761,0.6987,0.6833
VGG16 (Original),0.8672,0.7149,0.6004,0.6366,0.8074,0.793,0.8026,0.5441,0.9246,0.6205,0.6182000000000001
XceptionNet (Finetuned),0.8705,0.7432000000000001,0.6369,0.6908000000000001,0.8181,0.8113,0.8106,0.5661,0.7246,0.8911,0.6903
XceptionNet (Original),0.8647,0.7362,0.6524,0.6837,0.8114,0.804,0.8115,0.5609,0.7283999999999999,0.7114,0.8976
