model,dataset,attack,original_clean_acc,original_robust_accuracy,original_attack_success_rate,original_relative_accuracy_drop,original_robustness_ratio,original_param_count,collapsed_clean_acc,collapsed_robust_accuracy,collapsed_attack_success_rate,collapsed_relative_accuracy_drop,collapsed_robustness_ratio,collapsed_param_count,collapsed_minus_original_attack_success_rate,collapsed_minus_original_robust_accuracy,collapsed_minus_original_relative_accuracy_drop,collapsed_minus_original_robustness_ratio,params_reduction_percent
ConvNeXt,Cifar10,APGD,0.7525,0.1251,0.8749,0.8337541528239203,0.1662458471760797,27827818.0,0.0995,0.0644,0.9356,0.3527638190954774,0.6472361809045226,2482666.0,0.060699999999999976,-0.06069999999999999,-0.4809903337284429,0.4809903337284429,91.07847406505246
ConvNeXt,Cifar10,BIM,0.7525,0.546,0.4539999999999999,0.2744186046511627,0.7255813953488374,27827818.0,0.10025,0.03535,0.96465,0.6449578551843201,0.35504214481567986,2482666.0,0.51065,-0.51065,0.37053925053315745,-0.3705392505331575,91.07847406505246
ConvNeXt,Cifar10,CW,0.7525,0.0032,0.9968,0.9957475083056478,0.0042524916943521,27827818.0,0.0676,0.0007,0.9993,0.9896449704142012,0.0103550295857988,2482666.0,0.0024999999999999467,-0.0025,-0.006102537891446658,0.0061025378914467,91.07847406505246
ConvNeXt,Cifar10,DeepFool,0.7525,0.0524,0.9476,0.9303654485049834,0.0696345514950166,27827818.0,0.0853,0.011,0.989,0.8710433763188746,0.1289566236811254,2482666.0,0.04139999999999999,-0.041400000000000006,-0.05932207218610874,0.0593220721861088,91.07847406505246
ConvNeXt,Cifar10,FGSM,0.7524,0.2942,0.7058,0.6089845826687932,0.3910154173312068,27827818.0,0.0784,0.0755,0.9245,0.0369897959183673,0.9630102040816326,2482666.0,0.2187,-0.2187,-0.5719947867504259,0.5719947867504258,91.07847406505246
ConvNeXt,Cifar10,PGD,0.7525,0.1838,0.8162,0.7557475083056479,0.2442524916943521,27827818.0,0.0723,0.0396,0.9604,0.4522821576763485,0.5477178423236515,2482666.0,0.1442,-0.1442,-0.30346535062929936,0.3034653506292994,91.07847406505246
ConvNeXt,Cifar100,APGD,0.4119,0.0286,0.9714,0.9305656712794368,0.0694343287205632,27897028.0,0.013,0.0009,0.9991,0.9307692307692308,0.0692307692307692,2551876.0,0.027699999999999947,-0.0277,0.00020355948979400296,-0.00020355948979398908,90.85251661933307
ConvNeXt,Cifar100,BIM,0.4119,0.2161,0.7839,0.4753580966253945,0.5246419033746055,27897028.0,0.0093,0.0031999999999999997,0.9967999999999999,0.6565680196514212,0.34343198034857875,2551876.0,0.21289999999999987,-0.21289999999999998,0.18120992302602668,-0.18120992302602673,90.85251661933307
ConvNeXt,Cifar100,CW,0.4119,0.0025,0.9975,0.9939305656712796,0.0060694343287205,27897028.0,0.0067,0.0002,0.9998,0.9701492537313432,0.0298507462686567,2551876.0,0.0022999999999999687,-0.0023,-0.023781311939936378,0.023781311939936198,90.85251661933307
ConvNeXt,Cifar100,DeepFool,0.4119,0.0442,0.9558,0.8926924010682203,0.1073075989317795,27897028.0,0.0107,0.0002,0.9998,0.9813084112149532,0.0186915887850467,2551876.0,0.04400000000000004,-0.044000000000000004,0.08861601014673282,-0.0886160101467328,90.85251661933307
ConvNeXt,Cifar100,FGSM,0.4119,0.0879,0.9121,0.7865986890021849,0.213401310997815,27897028.0,0.0096,0.0055,0.9945,0.4270833333333333,0.5729166666666666,2551876.0,0.08240000000000003,-0.0824,-0.35951535566885157,0.3595153556688516,90.85251661933307
ConvNeXt,Cifar100,PGD,0.4119,0.0478,0.9522,0.8839524156348628,0.1160475843651371,27897028.0,0.0123,0.005,0.995,0.5934959349593496,0.4065040650406504,2551876.0,0.04279999999999995,-0.042800000000000005,-0.2904564806755132,0.29045648067551333,90.85251661933307
InceptionNet,Cifar10,APGD,0.8528,0.1554,0.8446,0.8177767354596623,0.1822232645403377,5991082.0,0.8633,0.1792,0.8208,0.7924244179311942,0.2075755820688057,3809226.0,-0.023800000000000043,0.023799999999999988,-0.025352317528468116,0.025352317528468005,36.41839654339567
InceptionNet,Cifar10,BIM,0.8528,0.6436,0.3564,0.2453095684803002,0.7546904315196997,5991082.0,0.8633,0.6801,0.3198999999999999,0.2122089655971272,0.7877910344028728,3809226.0,-0.03650000000000009,0.03650000000000009,-0.033100602883172986,0.03310060288317307,36.41839654339567
InceptionNet,Cifar10,CW,0.8528,0.007,0.993,0.9917917448405252,0.0082082551594746,5991082.0,0.8633,0.0178,0.9822,0.979381443298969,0.0206185567010309,3809226.0,-0.010800000000000032,0.0108,-0.012410301541556201,0.0124103015415563,36.41839654339567
InceptionNet,Cifar10,DeepFool,0.8528,0.1512,0.8488,0.8227016885553471,0.1772983114446529,5991082.0,0.8633,0.1456,0.8544,0.8313448395690953,0.1686551604309046,3809226.0,0.005600000000000049,-0.005599999999999994,0.00864315101374824,-0.008643151013748324,36.41839654339567
InceptionNet,Cifar10,FGSM,0.8528,0.4032,0.5968,0.5272045028142589,0.4727954971857411,5991082.0,0.8633,0.4151,0.5849,0.5191706243484304,0.4808293756515696,3809226.0,-0.011900000000000022,0.011900000000000022,-0.008033878465828481,0.008033878465828481,36.41839654339567
InceptionNet,Cifar10,PGD,0.8528,0.2274,0.7726,0.7333489681050656,0.2666510318949343,5991082.0,0.8633,0.2532,0.7468,0.7067068226572455,0.2932931773427545,3809226.0,-0.025799999999999934,0.02579999999999999,-0.026642145447820065,0.02664214544782023,36.41839654339567
InceptionNet,Cifar100,APGD,0.5491,0.0389,0.9611,0.9291568020397012,0.0708431979602986,6083332.0,0.5741,0.0582,0.9418,0.8986239331126981,0.1013760668873018,3901476.0,-0.019299999999999984,0.019300000000000005,-0.03053286892700313,0.0305328689270032,35.8661338884677
