source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9869,0.8867,0.8224,0.8388,0.8965,0.9165,0.9365,0.7802,0.8573,0.7986,0.8042
ConvNeXt (Original),0.9866,0.912,0.8262,0.8443,0.8987,0.9183,0.937,0.7822,0.8593999999999999,0.8037,0.8071
InceptionNet (Finetuned),0.9869,0.8859,0.8426,0.8533,0.8991,0.918,0.9367,0.7928,0.864,0.8115,0.8152
InceptionNet (Original),0.9867,0.886,0.8334,0.8641,0.8995,0.9174,0.9362,0.7931,0.8657,0.8071,0.8115
MobileNet (Original),0.9867,0.8847,0.8251999999999999,0.844,0.9149,0.9194,0.9384,0.7891,0.8638,0.8065,0.8127
RegNetX_400MF (Finetuned),0.9863,0.8879,0.8240000000000001,0.8418,0.9007000000000001,0.9268,0.9409,0.7872,0.8609,0.8041,0.8113
RegNetX_400MF (Original),0.987,0.8862,0.8249,0.8404,0.8988,0.9238,0.9486,0.7847,0.8583000000000001,0.8034,0.8079000000000001
VGG16 (Finetuned),0.9869,0.8854,0.8239,0.8419,0.8996999999999999,0.9168,0.9366,0.8251,0.8694999999999999,0.8002,0.8078
VGG16 (Original),0.9868,0.8857,0.8271,0.8452,0.9003,0.9177,0.9363,0.8160000000000001,0.8972,0.804,0.8096
XceptionNet (Finetuned),0.9866,0.8858,0.8311,0.8479,0.9,0.9172,0.9366,0.7897000000000001,0.8637,0.832,0.8214
XceptionNet (Original),0.987,0.8867,0.8294,0.8477,0.9017,0.9199,0.9375,0.7944,0.8645,0.8207,0.8492999999999999
