source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9133,0.639,0.5268999999999999,0.528,0.6453,0.6509,0.7121,0.4851,0.4766,0.4849,0.4982
ConvNeXt (Original),0.9132,0.9968,0.5357000000000001,0.536,0.6555,0.6611,0.7232000000000001,0.4911999999999999,0.4798,0.4907,0.503
InceptionNet (Finetuned),0.9129,0.6449,0.9824,0.5529,0.6592,0.6617,0.7176,0.4988,0.4901999999999999,0.4991,0.5127999999999999
InceptionNet (Original),0.9131,0.6477999999999999,0.5470999999999999,0.9928,0.6594,0.6642,0.7217,0.4988,0.4879,0.4975,0.5115000000000001
MobileNet (Original),0.914,0.6447,0.5317000000000001,0.5319,0.9981,0.6582,0.7234,0.4883999999999999,0.4784,0.4885,0.5041
RegNetX_400MF (Finetuned),0.9137,0.6436,0.5313,0.5312,0.6591,0.9097,0.7377,0.4897,0.4784,0.4903999999999999,0.5059
RegNetX_400MF (Original),0.9138,0.6434,0.5301,0.5313,0.6534,0.6591,0.9397,0.4869,0.4771999999999999,0.4871999999999999,0.5015000000000001
VGG16 (Finetuned),0.9135,0.6383,0.5274,0.5281,0.6467,0.651,0.7105,0.9628,0.4901,0.4847,0.5001
VGG16 (Original),0.9134,0.6445000000000001,0.5369999999999999,0.5384,0.6554,0.6597999999999999,0.7199,0.5341,0.9784,0.4948,0.511
XceptionNet (Finetuned),0.9129,0.6364000000000001,0.5325,0.5333,0.6529,0.6557999999999999,0.7134,0.4941,0.4831999999999999,0.9707,0.5275000000000001
XceptionNet (Original),0.9134,0.6448,0.536,0.5378000000000001,0.6606000000000001,0.6655,0.7257,0.495,0.4877,0.5033000000000001,0.9986
