source_label,ConvNeXt (Finetuned),ConvNeXt (Original),InceptionNet (Finetuned),InceptionNet (Original),MobileNet (Original),RegNetX_400MF (Finetuned),RegNetX_400MF (Original),VGG16 (Finetuned),VGG16 (Original),XceptionNet (Finetuned),XceptionNet (Original)
ConvNeXt (Finetuned),0.9091,0.2812,0.1682,0.1791,0.2562,0.2458,0.3228999999999999,0.1080999999999999,0.1019999999999999,0.1408,0.1525999999999999
ConvNeXt (Original),0.9118,0.8714,0.4676,0.4737,0.6152,0.6098,0.6881999999999999,0.3914999999999999,0.3832,0.4171,0.4408999999999999
InceptionNet (Finetuned),0.9117,0.6404000000000001,0.8355,0.5680000000000001,0.6628000000000001,0.6645,0.7163999999999999,0.4883999999999999,0.4809,0.4993999999999999,0.5178
InceptionNet (Original),0.911,0.6369,0.5484,0.8239,0.6547000000000001,0.653,0.7116,0.4668,0.4613,0.488,0.5078
MobileNet (Original),0.9124,0.613,0.4782999999999999,0.4838,0.8525,0.6292,0.7013,0.4063,0.3981,0.4337999999999999,0.4548
RegNetX_400MF (Finetuned),0.9093,0.621,0.4876,0.4905,0.6424000000000001,0.8609,0.7316,0.4165999999999999,0.4076999999999999,0.4399999999999999,0.47
RegNetX_400MF (Original),0.9125,0.5905,0.4453,0.4481,0.5938,0.6029,0.9031,0.371,0.3633999999999999,0.3969,0.4196999999999999
VGG16 (Finetuned),0.9117,0.6345000000000001,0.5267999999999999,0.5239,0.6452,0.6489,0.7078,0.7563,0.4949,0.4810999999999999,0.4987
VGG16 (Original),0.911,0.6355,0.5375,0.5387,0.6489,0.6566000000000001,0.7136,0.5712999999999999,0.841,0.4971,0.5187999999999999
XceptionNet (Finetuned),0.9117,0.6394,0.5376000000000001,0.5433,0.6665,0.6629,0.7196,0.4832999999999999,0.4745,0.7571,0.5452
XceptionNet (Original),0.9098,0.6315999999999999,0.5236000000000001,0.5258,0.657,0.6607000000000001,0.7153,0.4669,0.4589,0.5,0.7815
