model,dataset,original_clean_acc,collapsed_clean_acc,original_param_count,collapsed_param_count,params_reduction_percent,mean_original_attack_success_rate,mean_collapsed_attack_success_rate,mean_delta_attack_success_rate,mean_delta_robust_accuracy,mean_delta_relative_accuracy_drop,mean_delta_robustness_ratio
ConvNeXt,Cifar100|epochs100_pretrain300,0.4119,0.0101,27897028.0,2551876.0,90.85251661933307,0.9234600000000001,0.99673,0.07326999999999999,-0.07327,-0.12372761479541468,0.12372761479541469
ConvNeXt,Cifar100|epochs200_pretrain200,0.41594999999999993,0.0095,27897028.0,2551876.0,90.85251661933307,0.9210200000000001,0.99667,0.07564999999999997,-0.07565000000000001,-0.1883352460238233,0.1883352460238234
ConvNeXt,Cifar100|epochs300_pretrain100,0.41200000000000003,0.01005,27897028.0,2551876.0,90.85251661933307,0.9178900000000001,0.9959,0.07801,-0.07801,-0.19312194304283076,0.19312194304283073
ConvNeXt,Cifar100|epochs3_pretrain3,0.24085,0.010669999999999999,27897028.0,2551876.0,90.85251661933307,0.94499,0.99328,0.04829000000000001,-0.04829,-0.4380360449343478,0.4380360449343478
ConvNeXt,Cifar10_epochs100_pretrain300,0.7524,0.0947,27827818.0,2482666.0,91.07847406505246,0.7058,0.9496,0.24380000000000002,-0.24380000000000002,-0.1411915520457731,0.14119155204577305
ConvNeXt,Cifar10_epochs200_pretrain200,0.7535,0.0973,27827818.0,2482666.0,91.07847406505246,0.6895,0.9216,0.23209999999999997,-0.2321,-0.3936784215626836,0.3936784215626835
ConvNeXt,Cifar10_epochs300_pretrain100,0.7557,0.085,27827818.0,2518762.0,90.9487621343506,0.692,0.9359,0.2439,-0.2439,-0.34654850586522823,0.3465485058652283
ConvNeXt,Cifar10_epochs3_pretrain3,0.52,0.0986,27827818.0,2482666.0,91.07847406505246,0.8212,0.9496,0.12839999999999996,-0.1284,-0.1673100327664223,0.1673100327664223
ConvNeXt,Cifar10|epochs100_pretrain300,0.7524599999999999,0.09269000000000001,27827818.0,2482666.0,91.07847406505246,0.81856,0.98079,0.16223000000000004,-0.16223000000000004,0.04680145548337267,-0.0468014554833727
ConvNeXt,Cifar10|epochs200_pretrain200,0.75344,0.08548,27827818.0,2482666.0,91.07847406505246,0.80808,0.96753,0.15945,-0.15945,-0.11948454753524622,0.11948454753524618
ConvNeXt,Cifar10|epochs300_pretrain100,0.75564,0.07697000000000001,27827818.0,2518762.0,90.9487621343506,0.8063800000000001,0.97611,0.16973,-0.16973,-0.03321091716686584,0.03321091716686586
ConvNeXt,Cifar10|epochs3_pretrain3,0.52,0.08756,27827818.0,2482666.0,91.07847406505246,0.83596,0.96045,0.12449000000000003,-0.12449000000000002,-0.11821674960748041,0.11821674960748041
InceptionNet,Cifar100_epochs100_pretrain300,0.5491,0.5741,6083332.0,3901476.0,35.8661338884677,0.866575,0.834925,-0.031649999999999984,0.03165,-0.04454848777738969,0.044548487777389734
InceptionNet,Cifar100_epochs200_pretrain200,0.5606,0.573,6083332.0,3638308.0,40.192184151711594,0.8556250000000001,0.83375,-0.021875000000000006,0.021874999999999995,-0.032603048092949574,0.03260304809294958
InceptionNet,Cifar100_epochs300_pretrain100,0.5658,0.5715,6083332.0,3638308.0,40.192184151711594,0.851425,0.845325,-0.0060999999999999666,0.006100000000000008,-0.008054630101247864,0.008054630101247944
InceptionNet,Cifar100_epochs3_pretrain3,0.2429,0.3148,6083332.0,4492804.0,26.14567148398279,0.942075,0.935025,-0.0070500000000000285,0.0070500000000000024,0.032071733024764834,-0.032071733024764834
InceptionNet,Cifar100|epochs100_pretrain300,0.5491,0.57395,6083332.0,3901476.0,35.8661338884677,0.8484,0.81265,-0.035750000000000004,0.03575000000000002,-0.05041251944846051,0.050412519448460674
InceptionNet,Cifar100|epochs200_pretrain200,0.56065,0.5730500000000001,6083332.0,3638308.0,40.192184151711594,0.8383,0.8108500000000001,-0.027449999999999974,0.027450000000000006,-0.04165974279006948,0.04165974279006958
InceptionNet,Cifar100|epochs300_pretrain100,0.56585,0.5715,6083332.0,3638308.0,40.192184151711594,0.83215,0.82685,-0.005300000000000027,0.005300000000000013,-0.0063671570567004065,0.006367157056700423
InceptionNet,Cifar100|epochs3_pretrain3,0.24295,0.3148,6083332.0,4492804.0,26.14567148398279,0.9251,0.9117,-0.013399999999999967,0.0134,0.02774498046861429,-0.02774498046861436
InceptionNet,Cifar10_epochs100_pretrain300,0.8528,0.86335,5991082.0,3809226.0,36.41839654339567,0.64245,0.61795,-0.02450000000000005,0.024500000000000036,-0.023260150398275593,0.023260150398275593
InceptionNet,Cifar10_epochs200_pretrain200,0.85995,0.8573,5991082.0,4049962.0,32.4001574339994,0.621875,0.6214500000000001,-0.0004249999999999948,0.00042500000000001564,-0.0018722222239074618,0.0018722222239074826
InceptionNet,Cifar10_epochs300_pretrain100,0.8595,0.85485,5991082.0,4400554.0,26.54825956313067,0.620325,0.6306,0.010274999999999979,-0.010274999999999965,0.009600088395502325,-0.009600088395502311
InceptionNet,Cifar10_epochs3_pretrain3,0.6513,0.6828,5991082.0,3809226.0,36.41839654339567,0.790675,0.76045,-0.030224999999999974,0.030225000000000012,-0.029439127692971495,0.02943912769297151
InceptionNet,Cifar10|epochs100_pretrain300,0.8527666666666667,0.8633666666666665,5991082.0,3809226.0,36.41839654339567,0.7258333333333334,0.7115,-0.014333333333333309,0.014333333333333328,-0.012625386518595794,0.012625386518595834
InceptionNet,Cifar10|epochs200_pretrain200,0.8599,0.8572333333333333,5991082.0,4049962.0,32.4001574339994,0.7167666666666667,0.7114333333333334,-0.005333333333333338,0.005333333333333336,-0.007242277659607148,0.007242277659607149
InceptionNet,Cifar10|epochs300_pretrain100,0.8594666666666667,0.8548666666666667,5991082.0,4400554.0,26.54825956313067,0.7102333333333334,0.7181333333333333,0.007899999999999982,-0.007899999999999971,0.007464654762614172,-0.007464654762614126
InceptionNet,Cifar10|epochs3_pretrain3,0.6513666666666666,0.6827666666666666,5991082.0,3809226.0,36.41839654339567,0.8131666666666666,0.8014333333333333,-0.011733333333333373,0.01173333333333334,-0.004048154045326731,0.004048154045326706
RegNetX_400MF,Cifar100_epochs100_pretrain300,0.3529,0.399125,4811012.0,4032260.0,16.18686463471719,0.9425,0.92245,-0.020050000000000012,0.02005,-0.031405153804682256,0.03140515380468218
RegNetX_400MF,Cifar100_epochs200_pretrain200,0.35764999999999997,0.399725,4811012.0,4032260.0,16.18686463471719,0.9319999999999999,0.916625,-0.015375000000000028,0.015374999999999996,-0.01844487789816103,0.018444877898161106
RegNetX_400MF,Cifar100_epochs300_pretrain100,0.357925,0.400875,4811012.0,4032260.0,16.18686463471719,0.9253,0.92045,-0.004849999999999993,0.0048499999999999975,0.010315835843265245,-0.010315835843265331
RegNetX_400MF,Cifar100_epochs3_pretrain3,0.096475,0.130025,4811012.0,3884036.0,19.267796463613063,0.990425,0.981725,-0.008700000000000013,0.008700000000000001,-0.04132711367618305,0.04132711367618305
RegNetX_400MF,Cifar100|epochs100_pretrain300,0.3526,0.3991,4811012.0,4032260.0,16.18686463471719,0.99175,0.9851000000000001,-0.006649999999999989,0.0066500000000000005,-0.013936383806275432,0.013936383806275448
RegNetX_400MF,Cifar100|epochs200_pretrain200,0.3578,0.3997,4811012.0,4032260.0,16.18686463471719,0.99045,0.98535,-0.005099999999999993,0.005099999999999999,-0.009961600602352294,0.009961600602352303
RegNetX_400MF,Cifar100|epochs300_pretrain100,0.3579,0.4007,4811012.0,4032260.0,16.18686463471719,0.98875,0.98555,-0.0031999999999999806,0.0031999999999999993,-0.004628530415444476,0.004628530415444398
RegNetX_400MF,Cifar100|epochs3_pretrain3,0.0963,0.13,4811012.0,3884036.0,19.267796463613063,0.99735,0.99525,-0.0020999999999999908,0.0021000000000000003,-0.009020289160475925,0.00902028916047605
RegNetX_400MF,Cifar10_epochs100_pretrain300,0.71675,0.7868,4776362.0,3997610.0,16.30429184387615,0.814875,0.728775,-0.08610000000000004,0.08610000000000001,-0.0864212436724716,0.08642124367247156
RegNetX_400MF,Cifar10_epochs200_pretrain200,0.733025,0.768975,4776362.0,3997610.0,16.30429184387615,0.770625,0.74375,-0.026874999999999982,0.026875000000000003,-0.02030531105742582,0.02030531105742579
RegNetX_400MF,Cifar10_epochs300_pretrain100,0.766275,0.78675,4776362.0,3997610.0,16.30429184387615,0.74655,0.7534000000000001,0.006850000000000037,-0.006850000000000009,0.017292837370619138,-0.01729283737061915
RegNetX_400MF,Cifar10_epochs3_pretrain3,0.3104,0.373975,4776362.0,3997610.0,16.30429184387615,0.940225,0.913225,-0.027000000000000024,0.027,-0.03944731818015203,0.039447318180152055
RegNetX_400MF,Cifar10|epochs100_pretrain300,0.7167,0.7868,4776362.0,3997610.0,16.30429184387615,0.9423,0.92645,-0.01585000000000003,0.015849999999999996,-0.012972035303591978,0.012972035303592006
RegNetX_400MF,Cifar10|epochs200_pretrain200,0.733,0.769,4776362.0,3997610.0,16.30429184387615,0.94385,0.9319,-0.01194999999999996,0.011949999999999999,-0.011953565605834549,0.011953565605834557
RegNetX_400MF,Cifar10|epochs300_pretrain100,0.7663,0.7867,4776362.0,3997610.0,16.30429184387615,0.9333,0.91465,-0.018650000000000055,0.018649999999999993,-0.02144953702359015,0.0214495370235901
RegNetX_400MF,Cifar10|epochs3_pretrain3,0.3104,0.374,4776362.0,3997610.0,16.30429184387615,0.9700500000000001,0.9664999999999999,-0.003550000000000053,0.003550000000000003,0.0069162095484866515,-0.006916209548486707
VGG16,Cifar100_epochs100_pretrain300,0.5486,0.6785,34031780.0,22623396.0,33.522736689059464,0.8875333333333333,0.8364666666666666,-0.05106666666666667,0.05106666666666667,-0.03601517827071129,0.03601517827071126
VGG16,Cifar100_epochs3_pretrain3,0.0886,0.3241,34031780.0,22262180.0,34.58414458485568,0.9621333333333334,0.9012666666666668,-0.0608666666666667,0.06086666666666666,0.12275052823249148,-0.12275052823249151
VGG16,Cifar100|epochs100_pretrain300,0.5486,0.6785,34031780.0,22623396.0,33.522736689059464,0.9260666666666667,0.9005333333333333,-0.025533333333333335,0.02553333333333334,-0.011830601070875338,0.011830601070875328
VGG16,Cifar100|epochs3_pretrain3,0.0886,0.3241,34031780.0,22262180.0,34.58414458485568,0.9737333333333332,0.9222,-0.051533333333333355,0.05153333333333333,0.05641413891661321,-0.05641413891661327
VGG16,Cifar10_epochs100_pretrain300,0.9204,0.9167,33663050.0,21893450.0,34.96296384314552,0.65215,0.7327,0.08055000000000002,-0.08055000000000001,0.0863441104215862,-0.08634411042158618
VGG16,Cifar10_epochs3_pretrain3,0.5429,0.7592,33663050.0,21893450.0,34.96296384314552,0.79,0.71585,-0.07415,0.07415,0.012536014293918901,-0.012536014293918901
