model,dataset,kind,attack,model_label,param_count,clean_acc,adv_acc,robust_accuracy,clean_error_rate,adv_error_rate,attack_success_rate,accuracy_drop,relative_accuracy_drop,robustness_ratio
InceptionNet,Cifar100_epochs200_pretrain200,Finetuned,APGD,InceptionNet (Finetuned),3638308,0.573,0.0592,0.0592,0.427,0.9408,0.9408,0.5137999999999999,0.8966841186736474,0.1033158813263525
InceptionNet,Cifar100_epochs3_pretrain3,Finetuned,APGD,InceptionNet (Finetuned),4492804,0.3148,0.0162,0.0162,0.6852,0.9838,0.9838,0.2986,0.94853875476493,0.0514612452350698
InceptionNet,Cifar100_epochs100_pretrain300,Finetuned,APGD,InceptionNet (Finetuned),3901476,0.5741,0.0582,0.0582,0.4258999999999999,0.9418,0.9418,0.5159,0.8986239331126981,0.1013760668873018
InceptionNet,Cifar100_epochs300_pretrain100,Finetuned,APGD,InceptionNet (Finetuned),3638308,0.5715,0.0528,0.0528,0.4285,0.9472,0.9472,0.5187,0.9076115485564306,0.0923884514435695
InceptionNet,Cifar100_epochs200_pretrain200,Original,APGD,InceptionNet (Original),6083332,0.5606,0.0437,0.0437,0.4394,0.9563,0.9563,0.5169,0.9220478059222262,0.0779521940777738
InceptionNet,Cifar100_epochs3_pretrain3,Original,APGD,InceptionNet (Original),6083332,0.2429,0.0145,0.0145,0.7571,0.9855,0.9855,0.2284,0.940304652120214,0.0596953478797859
InceptionNet,Cifar100_epochs100_pretrain300,Original,APGD,InceptionNet (Original),6083332,0.5491,0.0389,0.0389,0.4508999999999999,0.9611,0.9611,0.5102,0.9291568020397012,0.0708431979602986
InceptionNet,Cifar100_epochs300_pretrain100,Original,APGD,InceptionNet (Original),6083332,0.5658,0.047,0.047,0.4342,0.953,0.953,0.5187999999999999,0.9169317780134322,0.0830682219865677
MobileNet,Cifar10|epochs200_pretrain200,Original,BIM,MobileNet (Original),3217226,0.8013,0.53,0.53,0.1987,0.47,0.47,0.2713,0.3385748159241232,0.6614251840758767
MobileNet,Cifar10|epochs3_pretrain3,Original,BIM,MobileNet (Original),3217226,0.372,0.0379,0.0379,0.628,0.9621,0.9621,0.3341,0.8981182795698925,0.1018817204301075
MobileNet,Cifar10|epochs100_pretrain300,Original,BIM,MobileNet (Original),3217226,0.7836,0.4635,0.4635,0.2164,0.5365,0.5365,0.3200999999999999,0.4084992343032159,0.5915007656967841
ConvNeXt,Cifar10_epochs3_pretrain3,Finetuned,FGSM,ConvNeXt (Finetuned),2482666,0.0986,0.0504,0.0504,0.9014,0.9496,0.9496,0.0481999999999999,0.4888438133874239,0.5111561866125761
ConvNeXt,Cifar10_epochs100_pretrain300,Finetuned,FGSM,ConvNeXt (Finetuned),2482666,0.0947,0.0504,0.0504,0.9053,0.9496,0.9496,0.0443,0.4677930306230201,0.5322069693769799
ConvNeXt,Cifar10_epochs300_pretrain100,Finetuned,FGSM,ConvNeXt (Finetuned),2518762,0.085,0.0641,0.0641,0.915,0.9359,0.9359,0.0209,0.2458823529411764,0.7541176470588236
ConvNeXt,Cifar10_epochs200_pretrain200,Finetuned,FGSM,ConvNeXt (Finetuned),2482666,0.0973,0.0784,0.0784,0.9027,0.9216,0.9216,0.0189,0.1942446043165467,0.8057553956834532
ConvNeXt,Cifar10_epochs3_pretrain3,Original,FGSM,ConvNeXt (Original),27827818,0.52,0.1788,0.1788,0.48,0.8212,0.8212,0.3412,0.6561538461538462,0.3438461538461538
ConvNeXt,Cifar10_epochs100_pretrain300,Original,FGSM,ConvNeXt (Original),27827818,0.7524,0.2942,0.2942,0.2476,0.7058,0.7058,0.4581999999999999,0.6089845826687932,0.3910154173312068
ConvNeXt,Cifar10_epochs300_pretrain100,Original,FGSM,ConvNeXt (Original),27827818,0.7557,0.308,0.308,0.2442999999999999,0.692,0.692,0.4477,0.5924308588064047,0.4075691411935953
ConvNeXt,Cifar10_epochs200_pretrain200,Original,FGSM,ConvNeXt (Original),27827818,0.7535,0.3105,0.3105,0.2465,0.6895,0.6895,0.4429999999999999,0.5879230258792303,0.4120769741207697
ConvNeXt,Cifar100|epochs200_pretrain200,Finetuned,BIM,ConvNeXt (Finetuned),2551876,0.0108,0.004,0.004,0.9892,0.996,0.996,0.0068,0.6296296296296297,0.3703703703703703
ConvNeXt,Cifar100|epochs3_pretrain3,Finetuned,BIM,ConvNeXt (Finetuned),2551876,0.0091,0.005,0.005,0.9909,0.995,0.995,0.0041,0.4505494505494505,0.5494505494505494
ConvNeXt,Cifar100|epochs300_pretrain100,Finetuned,BIM,ConvNeXt (Finetuned),2551876,0.0114,0.0059,0.0059,0.9886,0.9941,0.9941,0.0055,0.4824561403508772,0.5175438596491228
ConvNeXt,Cifar100|epochs100_pretrain300,Finetuned,BIM,ConvNeXt (Finetuned),2551876,0.0106,0.0038,0.0038,0.9894,0.9962,0.9962,0.0068,0.6415094339622642,0.3584905660377358
ConvNeXt,Cifar100|epochs200_pretrain200,Original,BIM,ConvNeXt (Original),27897028,0.416,0.2271,0.2271,0.5840000000000001,0.7729,0.7729,0.1888999999999999,0.4540865384615384,0.5459134615384615
ConvNeXt,Cifar100|epochs3_pretrain3,Original,BIM,ConvNeXt (Original),27897028,0.2408,0.1509,0.1509,0.7592,0.8491,0.8491,0.0898999999999999,0.3733388704318936,0.6266611295681064
ConvNeXt,Cifar100|epochs300_pretrain100,Original,BIM,ConvNeXt (Original),27897028,0.412,0.2313,0.2313,0.5880000000000001,0.7686999999999999,0.7686999999999999,0.1806999999999999,0.4385922330097087,0.5614077669902913
ConvNeXt,Cifar100|epochs100_pretrain300,Original,BIM,ConvNeXt (Original),27897028,0.4119,0.2161,0.2161,0.5881000000000001,0.7839,0.7839,0.1958,0.4753580966253945,0.5246419033746055
XceptionNet,Cifar100|epochs3_pretrain3,Finetuned,CW,XceptionNet (Finetuned),11377900,0.3614,0.0044,0.0044,0.6386000000000001,0.9956,0.9956,0.357,0.987825124515772,0.012174875484228
XceptionNet,Cifar100|epochs100_pretrain300,Finetuned,CW,XceptionNet (Finetuned),13481196,0.601,0.0052,0.0052,0.399,0.9948,0.9948,0.5958,0.9913477537437604,0.0086522462562396
XceptionNet,Cifar100|epochs300_pretrain100,Finetuned,CW,XceptionNet (Finetuned),13481196,0.6048,0.0027,0.0027,0.3952,0.9973,0.9973,0.6021,0.9955357142857142,0.0044642857142857
XceptionNet,Cifar100|epochs200_pretrain200,Finetuned,CW,XceptionNet (Finetuned),13481196,0.6003,0.0037,0.0037,0.3997,0.9963,0.9963,0.5965999999999999,0.9938364151257704,0.0061635848742295
XceptionNet,Cifar100|epochs3_pretrain3,Original,CW,XceptionNet (Original),21011852,0.3035,0.0048,0.0048,0.6965,0.9952,0.9952,0.2986999999999999,0.9841845140032948,0.0158154859967051
