model,dataset,kind,param_count,flops,latency_ms,throughput_imgs_s,peak_memory_mb,robust_accuracy,attack_success_rate,transfer_success_rate,explainability_delta_asr,robustness_per_flop,transfer_resistance_per_latency
VGG16,Cifar10_epochs300_pretrain100,Control_Continuted,33663050,,12.519167456775904,20448.644119816607,2221.5693359375,0.0631,0.9369,,,,
VGG16,Cifar100_epochs300_pretrain100,Control_Continuted,34031780,,12.989915953949094,19707.59479180255,2221.6572265625,,,,,,
VGG16,tinyimagenet_epochs300_pretrain100,Control_Continuted,40732936,,45.97801356576383,5567.878647776615,3031.7548828125,,,,,,
RegNetX_400MF,Cifar10_epochs300_pretrain100,Control_Continuted,4776362,,8.003271510824561,31986.919305905794,1953.81591796875,,,,,,
RegNetX_400MF,Cifar10_epochs300_pretrain100,Dynamic_Region_All_Combined,3997610,,8.168863854371011,31338.507357179056,1953.81591796875,,,,,,
RegNetX_400MF,Cifar10_epochs300_pretrain100,Dynamic_Region_All_Combined_quant,3997610,,8.154695993289351,31392.954465827675,1953.81591796875,,,,,,
RegNetX_400MF,Cifar100_epochs300_pretrain100,Control_Continuted,4811012,,7.844509882852435,32634.288671061346,1953.90380859375,,,,,,
RegNetX_400MF,Cifar100_epochs300_pretrain100,Dynamic_Region_All_Combined,4032260,,8.305254648439586,30823.859211601415,1953.90380859375,,,,,,
RegNetX_400MF,Cifar100_epochs300_pretrain100,Dynamic_Region_All_Combined_quant,4032260,,8.37260230910033,30575.917802968983,1953.90380859375,,,,,,
RegNetX_400MF,tinyimagenet_epochs300_pretrain100,Control_Continuted,4849512,,11.932908347807825,21453.277988767033,2260.00146484375,0.0013,0.9987,,,,
RegNetX_400MF,tinyimagenet_epochs300_pretrain100,Dynamic_Region_All_Combined,3493224,,12.999823410063982,19692.575193122568,2260.00146484375,0.0016,0.9984,,,,
RegNetX_400MF,tinyimagenet_epochs300_pretrain100,Dynamic_Region_All_Combined_quant,3493224,,12.773327296599746,20041.763125270194,2260.00146484375,0.0011,0.9989,,,,
