Candidate Block,Delta Acc (%),Params Red. (%),FLOPs Red. (%),Memory Red. (%)
Middle Features (Full),5.5405000000000015,23.716931185916902,13.876280638049543,1.987095522243243
Middle Features (Full),5.507500000000007,23.716931185916902,13.876280638049543,1.987095522243243
Late Features (Full),3.6755000000000067,47.04370722420087,13.802792547443044,4.967738805608112
Late Features (Full),3.481500000000004,47.04370722420087,13.802792547443044,4.967738805608112
Early and Middle,2.542500000000004,30.984508683531185,27.207884839839192,-111.27734924562169
Early and Middle,2.4875000000000043,30.984508683531185,27.207884839839192,-111.27734924562169
Almost All (1-11),0.2615000000000052,60.78729744875111,-65.16664505252237,-315.94818803667584
Almost All (1-11),0.09150000000000347,60.78729744875111,-65.16664505252237,-315.94818803667584
Middle and Late,-0.3914999999999935,82.31523316693904,27.575325292871653,1.987095522243243
Middle and Late,-0.3914999999999935,82.31523316693904,27.575325292871653,1.987095522243243
Block-8,-3.8234999999999957,7.71306714935861,8.870444819089606,0.0
Block-10,-4.143499999999996,7.71306714935861,8.870444819089606,0.0
Block-10,-4.143499999999996,7.71306714935861,8.870444819089606,0.0
Early Features (Full),-5.199499999999993,3.651139398401393,14.784074698482685,-31.793528355891908
Early Features (Full),-5.199499999999993,3.651139398401393,14.784074698482685,-31.793528355891908
Block-8,-5.212499999999999,7.71306714935861,8.870444819089606,0.0
Block-2,-7.455499999999994,0.4876939345411557,8.922318765400073,0.0
Block-2,-7.455499999999994,0.4876939345411557,8.922318765400073,0.0
Block-1,-7.476499999999994,0.020633204922893,-13.590973933341989,-39.74191044486488
Block-1,-7.476499999999994,0.020633204922893,-13.590973933341989,-39.74191044486488
Block-11,-7.6044999999999945,0.1650656393831662,-13.318635715212036,-4.967738805608102
Block-11,-7.6044999999999945,0.1650656393831662,-13.318635715212036,-4.967738805608102
Block-0,-9.208499999999994,0.0103166024614465,0.6224873557255872,-7.948382088972972
Block-0,-9.208499999999994,0.0103166024614465,0.6224873557255872,-7.948382088972972
